picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  262, time steps =   10, qsz =    2, switch = on, t =     5242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5514, ay = -0.2733, az =  9.9890, gx = -0.0041 rad/s, gy = -0.0009 rad/s, gz = -0.0474 rad/s, erpm_pitch =    0, erpm_roll = -11368, I_w_pitch = -0.0000 A, I_w_roll = -0.1513 A, theta_roll_comp = -34.4618 mrad 
msg =  263, time steps =   10, qsz =    2, switch = on, t =     5262 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4687, ay = -0.4651, az = 10.0418, gx = -0.0022 rad/s, gy =  0.0000 rad/s, gz =  0.0112 rad/s, erpm_pitch =    0, erpm_roll = -11368, I_w_pitch = -0.0000 A, I_w_roll = -0.4616 A, theta_roll_comp = -34.6195 mrad 
msg =  264, time steps =   10, qsz =    2, switch = on, t =     5282 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5226, ay = -0.3021, az =  9.9183, gx = -0.0039 rad/s, gy =  0.0034 rad/s, gz =  0.0441 rad/s, erpm_pitch =    0, erpm_roll = -11457, I_w_pitch = -0.0000 A, I_w_roll = -0.1305 A, theta_roll_comp = -34.7419 mrad 
msg =  265, time steps =   10, qsz =    2, switch = on, t =     5302 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6281, ay = -0.1666, az =  9.8452, gx = -0.0054 rad/s, gy =  0.0026 rad/s, gz = -0.0169 rad/s, erpm_pitch =    0, erpm_roll = -11457, I_w_pitch = -0.0000 A, I_w_roll =  0.0943 A, theta_roll_comp = -34.4991 mrad 
msg =  266, time steps =   10, qsz =    2, switch = on, t =     5322 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5574, ay = -0.2565, az =  9.9591, gx = -0.0020 rad/s, gy = -0.0002 rad/s, gz = -0.0382 rad/s, erpm_pitch =    0, erpm_roll = -11537, I_w_pitch = -0.0000 A, I_w_roll = -0.5616 A, theta_roll_comp = -34.2942 mrad 
msg =  267, time steps =   10, qsz =    2, switch = on, t =     5342 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4399, ay = -0.4327, az =  9.9842, gx = -0.0008 rad/s, gy =  0.0007 rad/s, gz =  0.0264 rad/s, erpm_pitch =    0, erpm_roll = -11575, I_w_pitch = -0.0000 A, I_w_roll = -0.7579 A, theta_roll_comp = -34.4155 mrad 
msg =  268, time steps =   10, qsz =    2, switch = on, t =     5362 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6066, ay = -0.2733, az =  9.9039, gx = -0.0020 rad/s, gy =  0.0042 rad/s, gz =  0.0317 rad/s, erpm_pitch =    0, erpm_roll = -11575, I_w_pitch = -0.0000 A, I_w_roll = -0.5315 A, theta_roll_comp = -34.4826 mrad 
msg =  269, time steps =   10, qsz =    2, switch = on, t =     5382 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6809, ay = -0.2433, az =  9.8835, gx = -0.0021 rad/s, gy =  0.0012 rad/s, gz = -0.0297 rad/s, erpm_pitch =    0, erpm_roll = -11640, I_w_pitch = -0.0000 A, I_w_roll = -0.5493 A, theta_roll_comp = -34.2216 mrad 
msg =  270, time steps =   10, qsz =    2, switch = on, t =     5402 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4855, ay = -0.4279, az =  9.9495, gx =  0.0006 rad/s, gy = -0.0004 rad/s, gz = -0.0249 rad/s, erpm_pitch =    0, erpm_roll = -11640, I_w_pitch = -0.0000 A, I_w_roll = -1.0423 A, theta_roll_comp = -34.1365 mrad 
msg =  271, time steps =   10, qsz =    2, switch = on, t =     5422 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5059, ay = -0.4124, az =  9.9315, gx =  0.0020 rad/s, gy =  0.0020 rad/s, gz =  0.0382 rad/s, erpm_pitch =    0, erpm_roll = -11690, I_w_pitch = -0.0000 A, I_w_roll = -1.2815 A, theta_roll_comp = -34.2891 mrad 
msg =  272, time steps =   10, qsz =    2, switch = on, t =     5442 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5622, ay = -0.1438, az =  9.8979, gx =  0.0018 rad/s, gy =  0.0040 rad/s, gz =  0.0145 rad/s, erpm_pitch =    0, erpm_roll = -11707, I_w_pitch = -0.0000 A, I_w_roll = -1.2540 A, theta_roll_comp = -34.1616 mrad 
msg =  273, time steps =   10, qsz =    2, switch = on, t =     5462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6102, ay = -0.2457, az =  9.9087, gx =  0.0031 rad/s, gy =  0.0015 rad/s, gz = -0.0406 rad/s, erpm_pitch =    0, erpm_roll = -11707, I_w_pitch = -0.0000 A, I_w_roll = -1.5455 A, theta_roll_comp = -33.8372 mrad 
msg =  274, time steps =   10, qsz =    2, switch = on, t =     5482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5023, ay = -0.4807, az =  9.9579, gx =  0.0067 rad/s, gy = -0.0009 rad/s, gz = -0.0059 rad/s, erpm_pitch =    0, erpm_roll = -11732, I_w_pitch = -0.0000 A, I_w_roll = -2.2079 A, theta_roll_comp = -33.7418 mrad 
msg =  275, time steps =   10, qsz =    2, switch = on, t =     5502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5502, ay = -0.3908, az =  9.8991, gx =  0.0080 rad/s, gy =  0.0024 rad/s, gz =  0.0442 rad/s, erpm_pitch =    0, erpm_roll = -11732, I_w_pitch = -0.0000 A, I_w_roll = -2.4382 A, theta_roll_comp = -33.8003 mrad 
msg =  276, time steps =   10, qsz =    2, switch = on, t =     5522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6785, ay = -0.1474, az =  9.9051, gx =  0.0082 rad/s, gy =  0.0039 rad/s, gz = -0.0061 rad/s, erpm_pitch =    0, erpm_roll = -11743, I_w_pitch = -0.0000 A, I_w_roll = -2.5081 A, theta_roll_comp = -33.5134 mrad 
msg =  277, time steps =   10, qsz =    2, switch = on, t =     5542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4915, ay = -0.2889, az =  9.9926, gx =  0.0098 rad/s, gy =  0.0004 rad/s, gz = -0.0415 rad/s, erpm_pitch =    0, erpm_roll = -11747, I_w_pitch = -0.0000 A, I_w_roll = -2.8607 A, theta_roll_comp = -33.1076 mrad 
msg =  278, time steps =   10, qsz =    2, switch = on, t =     5562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4939, ay = -0.4783, az =  9.9603, gx =  0.0140 rad/s, gy =  0.0000 rad/s, gz =  0.0122 rad/s, erpm_pitch =    0, erpm_roll = -11747, I_w_pitch = -0.0000 A, I_w_roll = -3.6390 A, theta_roll_comp = -33.0366 mrad 
msg =  279, time steps =   10, qsz =    2, switch = on, t =     5582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5334, ay = -0.3488, az =  9.8811, gx =  0.0150 rad/s, gy =  0.0034 rad/s, gz =  0.0402 rad/s, erpm_pitch =    0, erpm_roll = -11749, I_w_pitch = -0.0000 A, I_w_roll = -3.8258 A, theta_roll_comp = -32.9174 mrad 
msg =  280, time steps =   10, qsz =    2, switch = on, t =     5602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6018, ay = -0.1858, az =  9.8967, gx =  0.0151 rad/s, gy =  0.0032 rad/s, gz = -0.0217 rad/s, erpm_pitch =    0, erpm_roll = -11749, I_w_pitch = -0.0000 A, I_w_roll = -3.9343 A, theta_roll_comp = -32.3894 mrad 
msg =  281, time steps =   10, qsz =    2, switch = on, t =     5622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4735, ay = -0.3620, az = 10.0106, gx =  0.0194 rad/s, gy =  0.0003 rad/s, gz = -0.0364 rad/s, erpm_pitch =    0, erpm_roll = -11749, I_w_pitch = -0.0000 A, I_w_roll = -4.7783 A, theta_roll_comp = -31.9081 mrad 
msg =  282, time steps =   10, qsz =    2, switch = on, t =     5642 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4711, ay = -0.4567, az =  9.9698, gx =  0.0224 rad/s, gy =  0.0002 rad/s, gz =  0.0306 rad/s, erpm_pitch =    0, erpm_roll = -11744, I_w_pitch = -0.0000 A, I_w_roll = -5.3550 A, theta_roll_comp = -31.7486 mrad 
msg =  283, time steps =   10, qsz =    2, switch = on, t =     5662 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6401, ay = -0.2697, az =  9.9099, gx =  0.0227 rad/s, gy =  0.0047 rad/s, gz =  0.0302 rad/s, erpm_pitch =    0, erpm_roll = -11744, I_w_pitch = -0.0000 A, I_w_roll = -5.4589 A, theta_roll_comp = -31.3989 mrad 
msg =  284, time steps =   10, qsz =    2, switch = on, t =     5682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6857, ay = -0.2302, az =  9.9063, gx =  0.0237 rad/s, gy =  0.0036 rad/s, gz = -0.0341 rad/s, erpm_pitch =    0, erpm_roll = -11744, I_w_pitch = -0.0000 A, I_w_roll = -5.7525 A, theta_roll_comp = -30.7622 mrad 
msg =  285, time steps =   10, qsz =    2, switch = on, t =     5702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5334, ay = -0.4555, az =  9.9986, gx =  0.0299 rad/s, gy =  0.0011 rad/s, gz = -0.0229 rad/s, erpm_pitch =    0, erpm_roll = -11744, I_w_pitch = -0.0000 A, I_w_roll = -6.9431 A, theta_roll_comp = -30.2122 mrad 
msg =  286, time steps =   10, qsz =    2, switch = on, t =     5722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4100, ay = -0.4831, az =  9.9794, gx =  0.0332 rad/s, gy =  0.0020 rad/s, gz =  0.0398 rad/s, erpm_pitch =    0, erpm_roll = -11744, I_w_pitch = -0.0000 A, I_w_roll = -7.5882 A, theta_roll_comp = -29.9252 mrad 
msg =  287, time steps =   10, qsz =    2, switch = on, t =     5742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5658, ay = -0.1798, az =  9.8979, gx =  0.0327 rad/s, gy =  0.0048 rad/s, gz =  0.0148 rad/s, erpm_pitch =    0, erpm_roll = -11742, I_w_pitch = -0.0000 A, I_w_roll = -7.5877 A, theta_roll_comp = -29.3287 mrad 
msg =  288, time steps =   10, qsz =    2, switch = on, t =     5762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6581, ay = -0.2086, az =  9.9423, gx =  0.0348 rad/s, gy =  0.0026 rad/s, gz = -0.0426 rad/s, erpm_pitch =    0, erpm_roll = -11742, I_w_pitch = -0.0000 A, I_w_roll = -8.1094 A, theta_roll_comp = -28.4648 mrad 
msg =  289, time steps =   10, qsz =    2, switch = on, t =     5782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4735, ay = -0.4903, az =  9.9842, gx =  0.0416 rad/s, gy =  0.0015 rad/s, gz = -0.0064 rad/s, erpm_pitch =    0, erpm_roll = -11744, I_w_pitch = -0.0000 A, I_w_roll = -9.4368 A, theta_roll_comp = -27.8086 mrad 
msg =  290, time steps =   10, qsz =    2, switch = on, t =     5802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5167, ay = -0.4196, az =  9.9591, gx =  0.0451 rad/s, gy =  0.0027 rad/s, gz =  0.0438 rad/s, erpm_pitch =    0, erpm_roll = -11743, I_w_pitch = -0.0000 A, I_w_roll = -10.1450 A, theta_roll_comp = -27.2768 mrad 
msg =  291, time steps =   10, qsz =    2, switch = on, t =     5822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.7037, ay = -0.1271, az =  9.8955, gx =  0.0449 rad/s, gy =  0.0039 rad/s, gz = -0.0075 rad/s, erpm_pitch =    0, erpm_roll = -11743, I_w_pitch = -0.0000 A, I_w_roll = -10.2698 A, theta_roll_comp = -26.3474 mrad 
msg =  292, time steps =   10, qsz =    2, switch = on, t =     5842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5562, ay = -0.2529, az =  9.9662, gx =  0.0484 rad/s, gy =  0.0019 rad/s, gz = -0.0454 rad/s, erpm_pitch =    0, erpm_roll = -11747, I_w_pitch = -0.0000 A, I_w_roll = -11.0654 A, theta_roll_comp = -25.2692 mrad 
msg =  293, time steps =   10, qsz =    2, switch = on, t =     5862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5107, ay = -0.4663, az =  9.9866, gx =  0.0554 rad/s, gy =  0.0008 rad/s, gz =  0.0092 rad/s, erpm_pitch =    0, erpm_roll = -11747, I_w_pitch = -0.0000 A, I_w_roll = -12.4570 A, theta_roll_comp = -24.5111 mrad 
