picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  175, time steps =   10, qsz =    2, switch = on, t =     3502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6209, ay = -0.2913, az =  9.9279, gx =  0.0067 rad/s, gy =  0.0027 rad/s, gz = -0.0334 rad/s, erpm_pitch =    0, erpm_roll = -11310, I_w_pitch = -0.0000 A, I_w_roll = -5.5666 A, theta_roll_comp = -12.7502 mrad 
msg =  176, time steps =   10, qsz =    2, switch = on, t =     3522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4543, ay = -0.4112, az =  9.9615, gx =  0.0323 rad/s, gy = -0.0038 rad/s, gz =  0.0418 rad/s, erpm_pitch =    0, erpm_roll = -11310, I_w_pitch = -0.0000 A, I_w_roll = -10.1615 A, theta_roll_comp = -12.7932 mrad 
msg =  177, time steps =   10, qsz =    2, switch = on, t =     3542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5514, ay = -0.3620, az =  9.8775, gx =  0.0269 rad/s, gy =  0.0020 rad/s, gz =  0.0226 rad/s, erpm_pitch =    0, erpm_roll = -11535, I_w_pitch = -0.0000 A, I_w_roll = -9.2239 A, theta_roll_comp = -12.6615 mrad 
msg =  178, time steps =   10, qsz =    2, switch = on, t =     3562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6785, ay = -0.2050, az =  9.9435, gx =  0.0179 rad/s, gy =  0.0055 rad/s, gz = -0.0357 rad/s, erpm_pitch =    0, erpm_roll = -11535, I_w_pitch = -0.0000 A, I_w_roll = -7.6201 A, theta_roll_comp = -12.4989 mrad 
msg =  179, time steps =   10, qsz =    2, switch = on, t =     3582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5718, ay = -0.3800, az = 10.0034, gx =  0.0391 rad/s, gy = -0.0010 rad/s, gz = -0.0064 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -11.4597 A, theta_roll_comp = -12.3189 mrad 
msg =  180, time steps =   10, qsz =    2, switch = on, t =     3602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5179, ay = -0.5143, az =  9.9842, gx =  0.0557 rad/s, gy = -0.0008 rad/s, gz =  0.0354 rad/s, erpm_pitch =    0, erpm_roll = -11773, I_w_pitch = -0.0000 A, I_w_roll = -14.5118 A, theta_roll_comp = -11.9685 mrad 
msg =  181, time steps =   10, qsz =    2, switch = on, t =     3622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5574, ay = -0.3692, az =  9.9195, gx =  0.0478 rad/s, gy =  0.0063 rad/s, gz = -0.0116 rad/s, erpm_pitch =    0, erpm_roll = -11773, I_w_pitch = -0.0000 A, I_w_roll = -13.1628 A, theta_roll_comp = -11.5614 mrad 
msg =  182, time steps =   10, qsz =    2, switch = on, t =     3642 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6509, ay = -0.3332, az =  9.9758, gx =  0.0528 rad/s, gy =  0.0060 rad/s, gz = -0.0338 rad/s, erpm_pitch =    0, erpm_roll = -11851, I_w_pitch = -0.0000 A, I_w_roll = -14.1310 A, theta_roll_comp = -11.0525 mrad 
msg =  183, time steps =   10, qsz =    2, switch = on, t =     3662 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4687, ay = -0.4459, az =  9.9878, gx =  0.0759 rad/s, gy =  0.0019 rad/s, gz =  0.0153 rad/s, erpm_pitch =    0, erpm_roll = -11851, I_w_pitch = -0.0000 A, I_w_roll = -18.4123 A, theta_roll_comp = -10.3599 mrad 
msg =  184, time steps =   10, qsz =    2, switch = on, t =     3682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5394, ay = -0.3980, az =  9.8907, gx =  0.0819 rad/s, gy =  0.0040 rad/s, gz =  0.0202 rad/s, erpm_pitch =    0, erpm_roll = -11873, I_w_pitch = -0.0000 A, I_w_roll = -19.6428 A, theta_roll_comp = -9.4098 mrad 
msg =  185, time steps =   10, qsz =    2, switch = on, t =     3702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6761, ay = -0.2409, az =  9.9135, gx =  0.0763 rad/s, gy =  0.0079 rad/s, gz = -0.0325 rad/s, erpm_pitch =    0, erpm_roll = -11869, I_w_pitch = -0.0000 A, I_w_roll = -18.8225 A, theta_roll_comp = -8.2452 mrad 
msg =  186, time steps =   10, qsz =    2, switch = on, t =     3722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5562, ay = -0.2829, az =  9.9387, gx =  0.0899 rad/s, gy =  0.0043 rad/s, gz = -0.0236 rad/s, erpm_pitch =    0, erpm_roll = -11869, I_w_pitch = -0.0000 A, I_w_roll = -21.4815 A, theta_roll_comp = -6.9060 mrad 
msg =  187, time steps =   10, qsz =    2, switch = on, t =     3742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5191, ay = -0.3752, az =  9.9710, gx =  0.1091 rad/s, gy =  0.0012 rad/s, gz =  0.0321 rad/s, erpm_pitch =    0, erpm_roll = -11846, I_w_pitch = -0.0000 A, I_w_roll = -25.1639 A, theta_roll_comp = -5.4617 mrad 
msg =  188, time steps =   10, qsz =    2, switch = on, t =     3762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5155, ay = -0.1954, az =  9.9195, gx =  0.1094 rad/s, gy =  0.0042 rad/s, gz =  0.0076 rad/s, erpm_pitch =    0, erpm_roll = -11846, I_w_pitch = -0.0000 A, I_w_roll = -25.4840 A, theta_roll_comp = -3.7612 mrad 
