picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  573, time steps =   10, qsz =    2, switch = on, t =    11462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4687, ay = -0.7073, az =  9.9650, gx = -0.0298 rad/s, gy =  0.0006 rad/s, gz =  0.0172 rad/s, erpm_pitch =    0, erpm_roll = -9435, I_w_pitch = -0.0000 A, I_w_roll =  2.7384 A, theta_roll_comp = -23.6118 mrad 
msg =  574, time steps =   10, qsz =    2, switch = on, t =    11482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5394, ay = -0.4771, az =  9.9746, gx = -0.0235 rad/s, gy =  0.0026 rad/s, gz =  0.0406 rad/s, erpm_pitch =    0, erpm_roll = -9059, I_w_pitch = -0.0000 A, I_w_roll =  1.8044 A, theta_roll_comp = -24.8144 mrad 
msg =  575, time steps =   10, qsz =    2, switch = on, t =    11502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6581, ay = -0.3021, az =  9.9279, gx = -0.0145 rad/s, gy =  0.0010 rad/s, gz =  0.0027 rad/s, erpm_pitch =    0, erpm_roll = -9059, I_w_pitch = -0.0000 A, I_w_roll =  0.2635 A, theta_roll_comp = -25.3704 mrad 
msg =  576, time steps =   10, qsz =    2, switch = on, t =    11522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6305, ay = -0.3692, az =  9.9315, gx = -0.0102 rad/s, gy = -0.0008 rad/s, gz = -0.0349 rad/s, erpm_pitch =    0, erpm_roll = -8353, I_w_pitch = -0.0000 A, I_w_roll = -0.4399 A, theta_roll_comp = -25.7676 mrad 
msg =  577, time steps =   10, qsz =    2, switch = on, t =    11542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5490, ay = -0.4244, az = 10.0094, gx = -0.0091 rad/s, gy =  0.0035 rad/s, gz = -0.0164 rad/s, erpm_pitch =    0, erpm_roll = -7761, I_w_pitch = -0.0000 A, I_w_roll = -0.5687 A, theta_roll_comp = -26.1611 mrad 
msg =  578, time steps =   10, qsz =    2, switch = on, t =    11562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5214, ay = -0.2074, az =  9.9519, gx = -0.0067 rad/s, gy =  0.0048 rad/s, gz =  0.0165 rad/s, erpm_pitch =    0, erpm_roll = -7761, I_w_pitch = -0.0000 A, I_w_roll = -0.9742 A, theta_roll_comp = -26.3228 mrad 
msg =  579, time steps =   10, qsz =    2, switch = on, t =    11582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6233, ay = -0.1067, az =  9.9135, gx = -0.0085 rad/s, gy =  0.0042 rad/s, gz =  0.0080 rad/s, erpm_pitch =    0, erpm_roll = -7507, I_w_pitch = -0.0000 A, I_w_roll = -0.6900 A, theta_roll_comp = -26.1519 mrad 
msg =  580, time steps =   10, qsz =    2, switch = on, t =    11602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5107, ay = -0.0767, az =  9.9531, gx = -0.0126 rad/s, gy =  0.0039 rad/s, gz = -0.0119 rad/s, erpm_pitch =    0, erpm_roll = -7507, I_w_pitch = -0.0000 A, I_w_roll =  0.0242 A, theta_roll_comp = -25.9716 mrad 
msg =  581, time steps =   10, qsz =    2, switch = on, t =    11622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4723, ay = -0.1103, az =  9.9615, gx = -0.0139 rad/s, gy =  0.0032 rad/s, gz = -0.0020 rad/s, erpm_pitch =    0, erpm_roll = -7082, I_w_pitch = -0.0000 A, I_w_roll =  0.2549 A, theta_roll_comp = -25.9155 mrad 
msg =  582, time steps =   10, qsz =    2, switch = on, t =    11642 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5071, ay = -0.0959, az =  9.9183, gx = -0.0165 rad/s, gy =  0.0014 rad/s, gz =  0.0073 rad/s, erpm_pitch =    0, erpm_roll = -6895, I_w_pitch = -0.0000 A, I_w_roll =  0.7156 A, theta_roll_comp = -25.9488 mrad 
msg =  583, time steps =   10, qsz =    2, switch = on, t =    11662 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5982, ay = -0.0288, az =  9.9387, gx = -0.0215 rad/s, gy =  0.0007 rad/s, gz = -0.0055 rad/s, erpm_pitch =    0, erpm_roll = -6895, I_w_pitch = -0.0000 A, I_w_roll =  1.6244 A, theta_roll_comp = -25.9366 mrad 
msg =  584, time steps =   10, qsz =    2, switch = on, t =    11682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5550, ay = -0.0240, az =  9.9782, gx = -0.0255 rad/s, gy =  0.0002 rad/s, gz = -0.0111 rad/s, erpm_pitch =    0, erpm_roll = -6535, I_w_pitch = -0.0000 A, I_w_roll =  2.3473 A, theta_roll_comp = -25.9610 mrad 
msg =  585, time steps =   10, qsz =    2, switch = on, t =    11702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5131, ay = -0.0683, az =  9.9626, gx = -0.0300 rad/s, gy =  0.0002 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = -6535, I_w_pitch = -0.0000 A, I_w_roll =  3.1926 A, theta_roll_comp = -26.1508 mrad 
msg =  586, time steps =   10, qsz =    2, switch = on, t =    11722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5874, ay = -0.0252, az =  9.9339, gx = -0.0358 rad/s, gy =  0.0012 rad/s, gz =  0.0073 rad/s, erpm_pitch =    0, erpm_roll = -6151, I_w_pitch = -0.0000 A, I_w_roll =  4.2624 A, theta_roll_comp = -26.3958 mrad 
msg =  587, time steps =   10, qsz =    2, switch = on, t =    11742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5754, ay = -0.0168, az =  9.9195, gx = -0.0391 rad/s, gy =  0.0002 rad/s, gz =  0.0045 rad/s, erpm_pitch =    0, erpm_roll = -5936, I_w_pitch = -0.0000 A, I_w_roll =  4.9121 A, theta_roll_comp = -26.7110 mrad 
msg =  588, time steps =   10, qsz =    2, switch = on, t =    11762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5274, ay = -0.1786, az =  9.9387, gx = -0.0399 rad/s, gy =  0.0003 rad/s, gz =  0.0024 rad/s, erpm_pitch =    0, erpm_roll = -5936, I_w_pitch = -0.0000 A, I_w_roll =  5.1414 A, theta_roll_comp = -27.2457 mrad 
msg =  589, time steps =   10, qsz =    2, switch = on, t =    11782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5131, ay = -0.2338, az =  9.9387, gx = -0.0410 rad/s, gy =  0.0002 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll = -5936, I_w_pitch = -0.0000 A, I_w_roll =  5.4636 A, theta_roll_comp = -28.0612 mrad 
msg =  590, time steps =   10, qsz =    2, switch = on, t =    11802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5586, ay = -0.2673, az =  9.9483, gx = -0.0411 rad/s, gy = -0.0009 rad/s, gz =  0.0031 rad/s, erpm_pitch =    0, erpm_roll = -5421, I_w_pitch = -0.0000 A, I_w_roll =  5.6141 A, theta_roll_comp = -28.8516 mrad 
