picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, time steps =    0, qsz =    0, switch = off, t =        2 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch =  0.0000 A, I_w_roll =  0.0000 A, theta_roll_comp =  0.0000 mrad 
msg =    1, time steps =    9, qsz =    2, switch = off, t =       22 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6018, ay = -0.8871, az =  9.9255, gx =  0.0260 rad/s, gy = -0.0021 rad/s, gz =  0.0068 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -11.0182 A, theta_roll_comp = -0.3981 mrad 
msg =    2, time steps =   10, qsz =    2, switch = off, t =       42 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6701, ay = -0.8763, az =  9.9219, gx =  0.0267 rad/s, gy = -0.0013 rad/s, gz =  0.0036 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -10.9421 A, theta_roll_comp = -1.6229 mrad 
msg =    3, time steps =   10, qsz =    2, switch = off, t =       62 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.7120, ay = -0.8643, az =  9.9171, gx =  0.0271 rad/s, gy =  0.0019 rad/s, gz = -0.0019 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -10.8280 A, theta_roll_comp = -2.7855 mrad 
msg =    4, time steps =   10, qsz =    2, switch = off, t =       82 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.7001, ay = -0.8427, az =  9.9243, gx =  0.0269 rad/s, gy =  0.0043 rad/s, gz = -0.0055 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -10.6268 A, theta_roll_comp = -3.8933 mrad 
msg =    5, time steps =   10, qsz =    2, switch = off, t =      102 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6737, ay = -0.8271, az =  9.9303, gx =  0.0268 rad/s, gy =  0.0071 rad/s, gz = -0.0076 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -10.4348 A, theta_roll_comp = -4.9436 mrad 
msg =    6, time steps =   10, qsz =    2, switch = off, t =      122 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6149, ay = -0.8187, az =  9.9111, gx =  0.0265 rad/s, gy =  0.0087 rad/s, gz = -0.0093 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -10.2241 A, theta_roll_comp = -5.9605 mrad 
msg =    7, time steps =   10, qsz =    2, switch = off, t =      142 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5466, ay = -0.8187, az =  9.9123, gx =  0.0268 rad/s, gy =  0.0079 rad/s, gz = -0.0103 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -10.1140 A, theta_roll_comp = -6.9486 mrad 
msg =    8, time steps =   10, qsz =    2, switch = off, t =      162 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.4903, ay = -0.8355, az =  9.9027, gx =  0.0279 rad/s, gy =  0.0058 rad/s, gz = -0.0079 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -10.1499 A, theta_roll_comp = -7.9225 mrad 
msg =    9, time steps =   10, qsz =    2, switch = off, t =      182 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.4579, ay = -0.8415, az =  9.9051, gx =  0.0293 rad/s, gy =  0.0026 rad/s, gz = -0.0023 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -10.2612 A, theta_roll_comp = -8.8743 mrad 
msg =   10, time steps =   10, qsz =    2, switch = off, t =      202 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.4819, ay = -0.8271, az =  9.8967, gx =  0.0304 rad/s, gy = -0.0009 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -10.3097 A, theta_roll_comp = -9.7700 mrad 
msg =   11, time steps =   10, qsz =    2, switch = off, t =      222 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5538, ay = -0.7936, az =  9.9171, gx =  0.0311 rad/s, gy = -0.0030 rad/s, gz =  0.0040 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -10.2991 A, theta_roll_comp = -10.5853 mrad 
msg =   12, time steps =   10, qsz =    2, switch = off, t =      242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6425, ay = -0.7624, az =  9.9351, gx =  0.0311 rad/s, gy = -0.0026 rad/s, gz =  0.0040 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -10.1833 A, theta_roll_comp = -11.3087 mrad 
msg =   13, time steps =   10, qsz =    2, switch = off, t =      262 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.7049, ay = -0.7396, az =  9.9363, gx =  0.0303 rad/s, gy = -0.0002 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -9.9343 A, theta_roll_comp = -11.9665 mrad 
