picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch =  0.0020 A, I_w_roll =  0.0000 A, theta_roll_comp =  0.0000 mrad, theta_setpoint = 1221724868382616705607437123584.0000 mrad, 
msg =    1, time steps =    9, qsz =    2, switch = off, t =       22 ms, ax =  0.5814, ay = -0.0312, az =  9.9423, gx =  0.0548 rad/s, gy =  0.0039 rad/s, gz = -0.0025 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -16.3111 A, theta_roll_comp =  0.3257 mrad, theta_setpoint = -40.0000 mrad, 
msg =    2, time steps =   10, qsz =    2, switch = off, t =       42 ms, ax =  0.5694, ay = -0.0096, az =  9.9471, gx =  0.0524 rad/s, gy =  0.0039 rad/s, gz = -0.0028 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -16.0445 A, theta_roll_comp =  1.3561 mrad, theta_setpoint = -40.0000 mrad, 
msg =    3, time steps =   10, qsz =    2, switch = off, t =       62 ms, ax =  0.5598, ay =  0.0228, az =  9.9483, gx =  0.0496 rad/s, gy =  0.0039 rad/s, gz = -0.0029 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -15.7015 A, theta_roll_comp =  2.3582 mrad, theta_setpoint = -40.0000 mrad, 
msg =    4, time steps =   10, qsz =    2, switch = off, t =       82 ms, ax =  0.5622, ay =  0.0348, az =  9.9327, gx =  0.0464 rad/s, gy =  0.0042 rad/s, gz = -0.0029 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -15.2785 A, theta_roll_comp =  3.3096 mrad, theta_setpoint = -40.0000 mrad, 
msg =    5, time steps =   10, qsz =    2, switch = off, t =      102 ms, ax =  0.5502, ay =  0.0408, az =  9.9363, gx =  0.0437 rad/s, gy =  0.0036 rad/s, gz = -0.0031 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -14.9436 A, theta_roll_comp =  4.2121 mrad, theta_setpoint = -40.0000 mrad, 
msg =    6, time steps =   10, qsz =    2, switch = off, t =      122 ms, ax =  0.5454, ay =  0.0491, az =  9.9399, gx =  0.0408 rad/s, gy =  0.0027 rad/s, gz = -0.0019 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -14.5511 A, theta_roll_comp =  5.0547 mrad, theta_setpoint = -40.0000 mrad, 
msg =    7, time steps =   10, qsz =    2, switch = off, t =      142 ms, ax =  0.5394, ay =  0.0491, az =  9.9351, gx =  0.0380 rad/s, gy =  0.0024 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -14.1710 A, theta_roll_comp =  5.8251 mrad, theta_setpoint = -40.0000 mrad, 
msg =    8, time steps =   10, qsz =    2, switch = off, t =      162 ms, ax =  0.5526, ay =  0.0515, az =  9.9363, gx =  0.0352 rad/s, gy =  0.0012 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -13.7798 A, theta_roll_comp =  6.5253 mrad, theta_setpoint = -40.0000 mrad, 
msg =    9, time steps =   10, qsz =    2, switch = off, t =      182 ms, ax =  0.5718, ay =  0.0635, az =  9.9363, gx =  0.0327 rad/s, gy =  0.0010 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -13.4296 A, theta_roll_comp =  7.1829 mrad, theta_setpoint = -40.0000 mrad, 
msg =   10, time steps =   10, qsz =    2, switch = off, t =      202 ms, ax =  0.5958, ay =  0.0827, az =  9.9387, gx =  0.0300 rad/s, gy =  0.0012 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -13.0492 A, theta_roll_comp =  7.8016 mrad, theta_setpoint = -40.0000 mrad, 
msg =   11, time steps =   10, qsz =    2, switch = off, t =      222 ms, ax =  0.6126, ay =  0.1043, az =  9.9351, gx =  0.0265 rad/s, gy =  0.0026 rad/s, gz = -0.0008 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -12.5205 A, theta_roll_comp =  8.3920 mrad, theta_setpoint = -40.0000 mrad, 
msg =   12, time steps =   10, qsz =    2, switch = off, t =      242 ms, ax =  0.6042, ay =  0.1438, az =  9.9495, gx =  0.0224 rad/s, gy =  0.0035 rad/s, gz = -0.0025 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -11.8697 A, theta_roll_comp =  8.9683 mrad, theta_setpoint = -40.0000 mrad, 
msg =   13, time steps =   10, qsz =    2, switch = off, t =      262 ms, ax =  0.5970, ay =  0.1462, az =  9.9459, gx =  0.0188 rad/s, gy =  0.0046 rad/s, gz = -0.0029 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -11.3046 A, theta_roll_comp =  9.4806 mrad, theta_setpoint = -40.0000 mrad, 
msg =   14, time steps =   10, qsz =    2, switch = off, t =      282 ms, ax =  0.5610, ay =  0.1426, az =  9.9411, gx =  0.0147 rad/s, gy =  0.0048 rad/s, gz = -0.0025 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -10.6308 A, theta_roll_comp =  9.9130 mrad, theta_setpoint = -40.0000 mrad, 
msg =   15, time steps =   10, qsz =    2, switch = off, t =      302 ms, ax =  0.5274, ay =  0.1343, az =  9.9387, gx =  0.0108 rad/s, gy =  0.0047 rad/s, gz = -0.0023 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -9.9893 A, theta_roll_comp = 10.2478 mrad, theta_setpoint = -40.0000 mrad, 
msg =   16, time steps =   10, qsz =    2, switch = off, t =      322 ms, ax =  0.5226, ay =  0.1450, az =  9.9303, gx =  0.0067 rad/s, gy =  0.0034 rad/s, gz = -0.0017 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -9.2854 A, theta_roll_comp = 10.4923 mrad, theta_setpoint = -40.0000 mrad, 
msg =   17, time steps =   10, qsz =    2, switch = off, t =      342 ms, ax =  0.5131, ay =  0.1343, az =  9.9291, gx =  0.0031 rad/s, gy =  0.0024 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -8.6650 A, theta_roll_comp = 10.6595 mrad, theta_setpoint = -40.0000 mrad, 
