picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  123, time steps =   10, qsz =    2, switch = on, t =     2462 ms, ax =  0.5622, ay = -2.1050, az =  9.8584, gx = -0.0482 rad/s, gy = -0.0032 rad/s, gz = -0.0324 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 32.1848 A, theta_roll_comp = -186.9796 mrad, theta_setpoint = -40.0000 mrad, 
msg =  124, time steps =   10, qsz =    2, switch = on, t =     2482 ms, ax =  0.5095, ay = -2.1349, az =  9.8488, gx = -0.0450 rad/s, gy =  0.0006 rad/s, gz =  0.0268 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 31.8369 A, theta_roll_comp = -188.4005 mrad, theta_setpoint = -40.0000 mrad, 
msg =  125, time steps =   10, qsz =    2, switch = on, t =     2502 ms, ax =  0.7204, ay = -1.9096, az =  9.6462, gx = -0.0456 rad/s, gy =  0.0011 rad/s, gz =  0.0350 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 32.1388 A, theta_roll_comp = -189.5381 mrad, theta_setpoint = -40.0000 mrad, 
msg =  126, time steps =   10, qsz =    2, switch = on, t =     2522 ms, ax =  0.7001, ay = -1.8868, az =  9.6702, gx = -0.0486 rad/s, gy = -0.0017 rad/s, gz = -0.0268 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 32.8164 A, theta_roll_comp = -190.4775 mrad, theta_setpoint = -40.0000 mrad, 
msg =  127, time steps =   10, qsz =    2, switch = on, t =     2542 ms, ax =  0.1798, ay = -2.6324, az =  9.7493, gx = -0.0242 rad/s, gy = -0.0002 rad/s, gz =  0.0234 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 28.7907 A, theta_roll_comp = -192.7299 mrad, theta_setpoint = -40.0000 mrad, 
msg =  128, time steps =   10, qsz =    2, switch = on, t =     2562 ms, ax =  0.5346, ay = -2.3627, az =  9.6845, gx = -0.0209 rad/s, gy =  0.0062 rad/s, gz =  0.0463 rad/s, erpm_pitch =    0, erpm_roll = 11697, I_w_pitch = -0.0000 A, I_w_roll = 28.4456 A, theta_roll_comp = -194.3181 mrad, theta_setpoint = -40.0000 mrad, 
msg =  129, time steps =   10, qsz =    2, switch = on, t =     2582 ms, ax =  0.6689, ay = -1.9312, az =  9.7205, gx = -0.0169 rad/s, gy = -0.0006 rad/s, gz = -0.0107 rad/s, erpm_pitch =    0, erpm_roll = 11699, I_w_pitch = -0.0000 A, I_w_roll = 27.8718 A, theta_roll_comp = -195.2258 mrad, theta_setpoint = -40.0000 mrad, 
msg =  130, time steps =   10, qsz =    2, switch = on, t =     2602 ms, ax =  0.6341, ay = -2.3435, az =  9.7001, gx = -0.0042 rad/s, gy = -0.0016 rad/s, gz = -0.0583 rad/s, erpm_pitch =    0, erpm_roll = 11699, I_w_pitch = -0.0000 A, I_w_roll = 25.6793 A, theta_roll_comp = -195.7535 mrad, theta_setpoint = -40.0000 mrad, 
msg =  131, time steps =   10, qsz =    2, switch = on, t =     2622 ms, ax =  0.7180, ay = -2.2021, az =  9.7984, gx =  0.0004 rad/s, gy = -0.0006 rad/s, gz =  0.0048 rad/s, erpm_pitch =    0, erpm_roll = 11702, I_w_pitch = -0.0000 A, I_w_roll = 24.9350 A, theta_roll_comp = -196.3445 mrad, theta_setpoint = -40.0000 mrad, 
msg =  132, time steps =   10, qsz =    2, switch = on, t =     2642 ms, ax =  0.7180, ay = -1.8652, az =  9.7205, gx = -0.0063 rad/s, gy =  0.0043 rad/s, gz =  0.0300 rad/s, erpm_pitch =    0, erpm_roll = 11702, I_w_pitch = -0.0000 A, I_w_roll = 26.1857 A, theta_roll_comp = -196.5217 mrad, theta_setpoint = -40.0000 mrad, 
msg =  133, time steps =   10, qsz =    2, switch = on, t =     2662 ms, ax =  0.8043, ay = -1.5703, az =  9.6821, gx = -0.0103 rad/s, gy =  0.0036 rad/s, gz = -0.0242 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 26.8528 A, theta_roll_comp = -196.1970 mrad, theta_setpoint = -40.0000 mrad, 
msg =  134, time steps =   10, qsz =    2, switch = on, t =     2682 ms, ax =  0.7420, ay = -2.1062, az =  9.6941, gx = -0.0034 rad/s, gy = -0.0024 rad/s, gz = -0.0085 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 25.6939 A, theta_roll_comp = -196.7437 mrad, theta_setpoint = -40.0000 mrad, 
msg =  135, time steps =   10, qsz =    2, switch = on, t =     2702 ms, ax =  0.4879, ay = -1.8808, az =  9.7816, gx = -0.0077 rad/s, gy =  0.0072 rad/s, gz =  0.0210 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 26.5133 A, theta_roll_comp = -197.0711 mrad, theta_setpoint = -40.0000 mrad, 
