picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -12.2518 A, theta_roll_comp =  0.0000 mrad, theta_setpoint = -84.2874 mrad, 
msg =    1, time steps =    9, qsz =    2, switch = off, t =       22 ms, ax =  0.5718, ay = -0.3716, az =  9.9435, gx =  0.0076 rad/s, gy =  0.0030 rad/s, gz = -0.0023 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -7.7444 A, theta_roll_comp = -0.1874 mrad, theta_setpoint = -40.0000 mrad, 
msg =    2, time steps =   10, qsz =    2, switch = off, t =       42 ms, ax =  0.5226, ay = -0.3704, az =  9.9411, gx =  0.0082 rad/s, gy =  0.0031 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -7.7475 A, theta_roll_comp = -0.7671 mrad, theta_setpoint = -40.0000 mrad, 
msg =    3, time steps =   10, qsz =    2, switch = off, t =       62 ms, ax =  0.5191, ay = -0.3476, az =  9.9447, gx =  0.0086 rad/s, gy =  0.0022 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = -3683, I_w_pitch = -0.0000 A, I_w_roll = -131.4183 A, theta_roll_comp = -1.3103 mrad, theta_setpoint = -813.0360 mrad, 
msg =    4, time steps =   10, qsz =    2, switch = off, t =       82 ms, ax =  0.5406, ay = -0.3213, az =  9.9579, gx =  0.0092 rad/s, gy =  0.0015 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = -3683, I_w_pitch = -0.0000 A, I_w_roll = -131.4648 A, theta_roll_comp = -1.7683 mrad, theta_setpoint = -813.0360 mrad, 
msg =    5, time steps =   10, qsz =    2, switch = off, t =      102 ms, ax =  0.5670, ay = -0.3536, az =  9.9531, gx =  0.0094 rad/s, gy =  0.0011 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll = -3657, I_w_pitch = -0.0000 A, I_w_roll = -130.5406 A, theta_roll_comp = -2.2377 mrad, theta_setpoint = -807.5789 mrad, 
msg =    6, time steps =   10, qsz =    2, switch = off, t =      122 ms, ax =  0.6006, ay = -0.3500, az =  9.9399, gx =  0.0095 rad/s, gy =  0.0014 rad/s, gz =  0.0027 rad/s, erpm_pitch =    0, erpm_roll = -3643, I_w_pitch = -0.0000 A, I_w_roll = -130.0177 A, theta_roll_comp = -2.7168 mrad, theta_setpoint = -804.6403 mrad, 
msg =    7, time steps =   10, qsz =    2, switch = off, t =      142 ms, ax =  0.5790, ay = -0.3440, az =  9.9255, gx =  0.0103 rad/s, gy =  0.0016 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll = -3643, I_w_pitch = -0.0000 A, I_w_roll = -130.0894 A, theta_roll_comp = -3.1672 mrad, theta_setpoint = -804.6403 mrad, 
msg =    8, time steps =   10, qsz =    2, switch = off, t =      162 ms, ax =  0.5898, ay = -0.3488, az =  9.9243, gx =  0.0104 rad/s, gy =  0.0019 rad/s, gz = -0.0015 rad/s, erpm_pitch =    0, erpm_roll = -3616, I_w_pitch = -0.0000 A, I_w_roll = -129.1395 A, theta_roll_comp = -3.5872 mrad, theta_setpoint = -798.9733 mrad, 
msg =    9, time steps =   10, qsz =    2, switch = off, t =      182 ms, ax =  0.5718, ay = -0.3596, az =  9.9327, gx =  0.0106 rad/s, gy =  0.0020 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll = -3616, I_w_pitch = -0.0000 A, I_w_roll = -129.0947 A, theta_roll_comp = -4.0170 mrad, theta_setpoint = -798.9733 mrad, 
msg =   10, time steps =   10, qsz =    2, switch = off, t =      202 ms, ax =  0.5706, ay = -0.3344, az =  9.9519, gx =  0.0111 rad/s, gy =  0.0020 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll = -3590, I_w_pitch = -0.0000 A, I_w_roll = -128.2546 A, theta_roll_comp = -4.4093 mrad, theta_setpoint = -793.5161 mrad, 
