picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  307, time steps =   10, qsz =    2, switch = on, t =     6142 ms, ax =  0.4795, ay = -0.5286, az =  9.9507, gx =  0.0150 rad/s, gy = -0.0005 rad/s, gz = -0.0185 rad/s, erpm_pitch =    0, erpm_roll = 8958, I_w_pitch = -0.0000 A, I_w_roll = -0.8243 A, theta_roll_comp = -48.5430 mrad, theta_setpoint = -36.8663 mrad, 
msg =  308, time steps =   10, qsz =    2, switch = on, t =     6162 ms, ax =  0.5670, ay = -0.5071, az = 10.0070, gx =  0.0151 rad/s, gy =  0.0034 rad/s, gz =  0.0350 rad/s, erpm_pitch =    0, erpm_roll = 8916, I_w_pitch = -0.0000 A, I_w_roll = -0.8971 A, theta_roll_comp = -48.2525 mrad, theta_setpoint = -36.8810 mrad, 
msg =  309, time steps =   10, qsz =    2, switch = on, t =     6182 ms, ax =  0.6881, ay = -0.3404, az =  9.9051, gx =  0.0148 rad/s, gy =  0.0028 rad/s, gz =  0.0357 rad/s, erpm_pitch =    0, erpm_roll = 8916, I_w_pitch = -0.0000 A, I_w_roll = -0.9105 A, theta_roll_comp = -47.8693 mrad, theta_setpoint = -36.8810 mrad, 
msg =  310, time steps =   10, qsz =    2, switch = on, t =     6202 ms, ax =  0.6365, ay = -0.3728, az =  9.8476, gx =  0.0138 rad/s, gy =  0.0014 rad/s, gz = -0.0124 rad/s, erpm_pitch =    0, erpm_roll = 8840, I_w_pitch = -0.0000 A, I_w_roll = -0.8178 A, theta_roll_comp = -47.2768 mrad, theta_setpoint = -36.9076 mrad, 
msg =  311, time steps =   10, qsz =    2, switch = on, t =     6222 ms, ax =  0.6078, ay = -0.3692, az =  9.8919, gx =  0.0108 rad/s, gy =  0.0018 rad/s, gz = -0.0374 rad/s, erpm_pitch =    0, erpm_roll = 8840, I_w_pitch = -0.0000 A, I_w_roll = -0.3776 A, theta_roll_comp = -46.7324 mrad, theta_setpoint = -36.9076 mrad, 
msg =  312, time steps =   10, qsz =    2, switch = on, t =     6242 ms, ax =  0.4675, ay = -0.4244, az =  9.9746, gx =  0.0100 rad/s, gy =  0.0027 rad/s, gz = -0.0129 rad/s, erpm_pitch =    0, erpm_roll = 8779, I_w_pitch = -0.0000 A, I_w_roll = -0.2851 A, theta_roll_comp = -46.4332 mrad, theta_setpoint = -36.9289 mrad, 
msg =  313, time steps =   10, qsz =    2, switch = on, t =     6262 ms, ax =  0.5322, ay = -0.4771, az =  9.9818, gx =  0.0100 rad/s, gy =  0.0048 rad/s, gz =  0.0252 rad/s, erpm_pitch =    0, erpm_roll = 8779, I_w_pitch = -0.0000 A, I_w_roll = -0.3302 A, theta_roll_comp = -46.1515 mrad, theta_setpoint = -36.9289 mrad, 
msg =  314, time steps =   10, qsz =    2, switch = on, t =     6282 ms, ax =  0.5886, ay = -0.3884, az =  9.8931, gx =  0.0098 rad/s, gy =  0.0039 rad/s, gz =  0.0242 rad/s, erpm_pitch =    0, erpm_roll = 8779, I_w_pitch = -0.0000 A, I_w_roll = -0.3294 A, theta_roll_comp = -45.8566 mrad, theta_setpoint = -36.9289 mrad, 
msg =  315, time steps =   10, qsz =    2, switch = on, t =     6302 ms, ax =  0.5670, ay = -0.3644, az =  9.8895, gx =  0.0091 rad/s, gy =  0.0007 rad/s, gz = -0.0095 rad/s, erpm_pitch =    0, erpm_roll = 8750, I_w_pitch = -0.0000 A, I_w_roll = -0.2719 A, theta_roll_comp = -45.4776 mrad, theta_setpoint = -36.9391 mrad, 
msg =  316, time steps =   10, qsz =    2, switch = on, t =     6322 ms, ax =  0.5766, ay = -0.4771, az =  9.8560, gx =  0.0090 rad/s, gy = -0.0004 rad/s, gz = -0.0245 rad/s, erpm_pitch =    0, erpm_roll = 8696, I_w_pitch = -0.0000 A, I_w_roll = -0.3028 A, theta_roll_comp = -45.1533 mrad, theta_setpoint = -36.9580 mrad, 
msg =  317, time steps =   10, qsz =    2, switch = on, t =     6342 ms, ax =  0.5023, ay = -0.4208, az =  9.9615, gx =  0.0083 rad/s, gy =  0.0002 rad/s, gz = -0.0099 rad/s, erpm_pitch =    0, erpm_roll = 8693, I_w_pitch = -0.0000 A, I_w_roll = -0.2165 A, theta_roll_comp = -44.9448 mrad, theta_setpoint = -36.9590 mrad, 
