picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  242, time steps =   10, qsz =    2, switch = off, t =     4842 ms, ax =  0.5838, ay = -0.2853, az =  9.9351, gx = -0.0079 rad/s, gy =  0.0011 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.4015 A, theta_roll_comp = -33.5729 mrad, theta_setpoint = -40.0000 mrad, 
msg =  243, time steps =   10, qsz =    2, switch = off, t =     4862 ms, ax =  0.5946, ay = -0.2949, az =  9.9327, gx = -0.0077 rad/s, gy =  0.0012 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.3642 A, theta_roll_comp = -33.6392 mrad, theta_setpoint = -40.0000 mrad, 
msg =  244, time steps =   10, qsz =    2, switch = off, t =     4882 ms, ax =  0.5994, ay = -0.2913, az =  9.9483, gx = -0.0077 rad/s, gy =  0.0018 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.3750 A, theta_roll_comp = -33.7068 mrad, theta_setpoint = -40.0000 mrad, 
msg =  245, time steps =   10, qsz =    2, switch = off, t =     4902 ms, ax =  0.5886, ay = -0.2829, az =  9.9567, gx = -0.0073 rad/s, gy =  0.0018 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.3112 A, theta_roll_comp = -33.7575 mrad, theta_setpoint = -40.0000 mrad, 
msg =  246, time steps =   10, qsz =    2, switch = off, t =     4922 ms, ax =  0.5850, ay = -0.2817, az =  9.9423, gx = -0.0071 rad/s, gy =  0.0024 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.2928 A, theta_roll_comp = -33.7926 mrad, theta_setpoint = -40.0000 mrad, 
msg =  247, time steps =   10, qsz =    2, switch = off, t =     4942 ms, ax =  0.5802, ay = -0.2925, az =  9.9363, gx = -0.0070 rad/s, gy =  0.0023 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.2757 A, theta_roll_comp = -33.8354 mrad, theta_setpoint = -40.0000 mrad, 
msg =  248, time steps =   10, qsz =    2, switch = off, t =     4962 ms, ax =  0.5742, ay = -0.2925, az =  9.9507, gx = -0.0070 rad/s, gy =  0.0018 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.2837 A, theta_roll_comp = -33.8854 mrad, theta_setpoint = -40.0000 mrad, 
msg =  249, time steps =   10, qsz =    2, switch = off, t =     4982 ms, ax =  0.5670, ay = -0.2997, az =  9.9435, gx = -0.0069 rad/s, gy =  0.0014 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.2692 A, theta_roll_comp = -33.9444 mrad, theta_setpoint = -40.0000 mrad, 
msg =  250, time steps =   10, qsz =    2, switch = off, t =     5002 ms, ax =  0.5694, ay = -0.2973, az =  9.9447, gx = -0.0065 rad/s, gy =  0.0010 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.2058 A, theta_roll_comp = -33.9977 mrad, theta_setpoint = -40.0000 mrad, 
msg =  251, time steps =   10, qsz =    2, switch = off, t =     5022 ms, ax =  0.5790, ay = -0.2997, az =  9.9363, gx = -0.0066 rad/s, gy =  0.0011 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.2381 A, theta_roll_comp = -34.0495 mrad, theta_setpoint = -40.0000 mrad, 
msg =  252, time steps =   10, qsz =    2, switch = off, t =     5042 ms, ax =  0.5826, ay = -0.2961, az =  9.9435, gx = -0.0066 rad/s, gy =  0.0010 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.2461 A, theta_roll_comp = -34.0998 mrad, theta_setpoint = -40.0000 mrad, 
msg =  253, time steps =   10, qsz =    2, switch = off, t =     5062 ms, ax =  0.5946, ay = -0.3009, az =  9.9267, gx = -0.0062 rad/s, gy =  0.0012 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.1814 A, theta_roll_comp = -34.1448 mrad, theta_setpoint = -40.0000 mrad, 
msg =  254, time steps =   10, qsz =    2, switch = off, t =     5082 ms, ax =  0.5814, ay = -0.2961, az =  9.9291, gx = -0.0059 rad/s, gy =  0.0014 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.1404 A, theta_roll_comp = -34.1882 mrad, theta_setpoint = -40.0000 mrad, 
msg =  255, time steps =   10, qsz =    2, switch = off, t =     5102 ms, ax =  0.5790, ay = -0.2949, az =  9.9351, gx = -0.0055 rad/s, gy =  0.0014 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.0729 A, theta_roll_comp = -34.2156 mrad, theta_setpoint = -40.0000 mrad, 
msg =  256, time steps =   10, qsz =    2, switch = off, t =     5122 ms, ax =  0.5790, ay = -0.2853, az =  9.9327, gx = -0.0055 rad/s, gy =  0.0019 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.0736 A, theta_roll_comp = -34.2196 mrad, theta_setpoint = -40.0000 mrad, 
msg =  257, time steps =   10, qsz =    2, switch = off, t =     5142 ms, ax =  0.5682, ay = -0.2889, az =  9.9411, gx = -0.0051 rad/s, gy =  0.0020 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.0022 A, theta_roll_comp = -34.2233 mrad, theta_setpoint = -40.0000 mrad, 
msg =  258, time steps =   10, qsz =    2, switch = off, t =     5162 ms, ax =  0.5742, ay = -0.2997, az =  9.9435, gx = -0.0050 rad/s, gy =  0.0023 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.0207 A, theta_roll_comp = -34.2298 mrad, theta_setpoint = -40.0000 mrad, 
msg =  259, time steps =   10, qsz =    2, switch = off, t =     5182 ms, ax =  0.5814, ay = -0.2949, az =  9.9483, gx = -0.0046 rad/s, gy =  0.0018 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.0915 A, theta_roll_comp = -34.2366 mrad, theta_setpoint = -40.0000 mrad, 
msg =  260, time steps =   10, qsz =    2, switch = off, t =     5202 ms, ax =  0.5802, ay = -0.2913, az =  9.9423, gx = -0.0045 rad/s, gy =  0.0018 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.1161 A, theta_roll_comp = -34.2326 mrad, theta_setpoint = -40.0000 mrad, 
msg =  261, time steps =   10, qsz =    2, switch = off, t =     5222 ms, ax =  0.5694, ay = -0.2877, az =  9.9351, gx = -0.0042 rad/s, gy =  0.0018 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.1663 A, theta_roll_comp = -34.2186 mrad, theta_setpoint = -40.0000 mrad, 
msg =  262, time steps =   10, qsz =    2, switch = off, t =     5242 ms, ax =  0.5730, ay = -0.2865, az =  9.9471, gx = -0.0039 rad/s, gy =  0.0015 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.2184 A, theta_roll_comp = -34.1927 mrad, theta_setpoint = -40.0000 mrad, 
msg =  263, time steps =   10, qsz =    2, switch = off, t =     5262 ms, ax =  0.5790, ay = -0.2949, az =  9.9495, gx = -0.0038 rad/s, gy =  0.0018 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.2457 A, theta_roll_comp = -34.1718 mrad, theta_setpoint = -40.0000 mrad, 
msg =  264, time steps =   10, qsz =    2, switch = off, t =     5282 ms, ax =  0.5766, ay = -0.2829, az =  9.9375, gx = -0.0035 rad/s, gy =  0.0012 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.2990 A, theta_roll_comp = -34.1384 mrad, theta_setpoint = -40.0000 mrad, 
msg =  265, time steps =   10, qsz =    2, switch = off, t =     5302 ms, ax =  0.5802, ay = -0.2817, az =  9.9375, gx = -0.0034 rad/s, gy =  0.0014 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.3299 A, theta_roll_comp = -34.0946 mrad, theta_setpoint = -40.0000 mrad, 
msg =  266, time steps =   10, qsz =    2, switch = off, t =     5322 ms, ax =  0.5814, ay = -0.2853, az =  9.9339, gx = -0.0037 rad/s, gy =  0.0018 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.2877 A, theta_roll_comp = -34.0588 mrad, theta_setpoint = -40.0000 mrad, 
msg =  267, time steps =   10, qsz =    2, switch = off, t =     5342 ms, ax =  0.5802, ay = -0.2769, az =  9.9231, gx = -0.0042 rad/s, gy =  0.0016 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.1973 A, theta_roll_comp = -34.0244 mrad, theta_setpoint = -40.0000 mrad, 
msg =  268, time steps =   10, qsz =    2, switch = off, t =     5362 ms, ax =  0.5778, ay = -0.2805, az =  9.9375, gx = -0.0046 rad/s, gy =  0.0018 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.1305 A, theta_roll_comp = -33.9930 mrad, theta_setpoint = -40.0000 mrad, 
msg =  269, time steps =   10, qsz =    2, switch = off, t =     5382 ms, ax =  0.5682, ay = -0.2769, az =  9.9363, gx = -0.0050 rad/s, gy =  0.0016 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.0622 A, theta_roll_comp = -33.9705 mrad, theta_setpoint = -40.0000 mrad, 
msg =  270, time steps =   10, qsz =    2, switch = off, t =     5402 ms, ax =  0.5502, ay = -0.2745, az =  9.9435, gx = -0.0051 rad/s, gy =  0.0018 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.0415 A, theta_roll_comp = -33.9502 mrad, theta_setpoint = -40.0000 mrad, 
msg =  271, time steps =   10, qsz =    2, switch = off, t =     5422 ms, ax =  0.5670, ay = -0.2733, az =  9.9435, gx = -0.0057 rad/s, gy =  0.0014 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.0517 A, theta_roll_comp = -33.9334 mrad, theta_setpoint = -40.0000 mrad, 
msg =  272, time steps =   10, qsz =    2, switch = off, t =     5442 ms, ax =  0.5718, ay = -0.2733, az =  9.9471, gx = -0.0053 rad/s, gy =  0.0007 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.0234 A, theta_roll_comp = -33.9129 mrad, theta_setpoint = -40.0000 mrad, 
msg =  273, time steps =   10, qsz =    2, switch = off, t =     5462 ms, ax =  0.5826, ay = -0.2769, az =  9.9423, gx = -0.0053 rad/s, gy =  0.0008 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.0273 A, theta_roll_comp = -33.8890 mrad, theta_setpoint = -40.0000 mrad, 
msg =  274, time steps =   10, qsz =    2, switch = off, t =     5482 ms, ax =  0.5862, ay = -0.2877, az =  9.9387, gx = -0.0053 rad/s, gy =  0.0014 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.0279 A, theta_roll_comp = -33.8852 mrad, theta_setpoint = -40.0000 mrad, 
msg =  275, time steps =   10, qsz =    2, switch = off, t =     5502 ms, ax =  0.5802, ay = -0.2961, az =  9.9387, gx = -0.0055 rad/s, gy =  0.0020 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.0220 A, theta_roll_comp = -33.8976 mrad, theta_setpoint = -40.0000 mrad, 
msg =  276, time steps =   10, qsz =    2, switch = off, t =     5522 ms, ax =  0.5718, ay = -0.3045, az =  9.9507, gx = -0.0053 rad/s, gy =  0.0022 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.0205 A, theta_roll_comp = -33.9315 mrad, theta_setpoint = -40.0000 mrad, 
msg =  277, time steps =   10, qsz =    2, switch = off, t =     5542 ms, ax =  0.5718, ay = -0.3057, az =  9.9399, gx = -0.0047 rad/s, gy =  0.0018 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.1107 A, theta_roll_comp = -33.9665 mrad, theta_setpoint = -40.0000 mrad, 
msg =  278, time steps =   10, qsz =    2, switch = off, t =     5562 ms, ax =  0.5754, ay = -0.3021, az =  9.9375, gx = -0.0039 rad/s, gy =  0.0015 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.2511 A, theta_roll_comp = -33.9882 mrad, theta_setpoint = -40.0000 mrad, 
msg =  279, time steps =   10, qsz =    2, switch = off, t =     5582 ms, ax =  0.5682, ay = -0.3057, az =  9.9363, gx = -0.0033 rad/s, gy =  0.0018 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.3700 A, theta_roll_comp = -33.9940 mrad, theta_setpoint = -40.0000 mrad, 
msg =  280, time steps =   10, qsz =    2, switch = off, t =     5602 ms, ax =  0.5646, ay = -0.2985, az =  9.9387, gx = -0.0026 rad/s, gy =  0.0012 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.4918 A, theta_roll_comp = -33.9816 mrad, theta_setpoint = -40.0000 mrad, 
msg =  281, time steps =   10, qsz =    2, switch = off, t =     5622 ms, ax =  0.5778, ay = -0.3033, az =  9.9471, gx = -0.0024 rad/s, gy =  0.0011 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.5428 A, theta_roll_comp = -33.9626 mrad, theta_setpoint = -40.0000 mrad, 
msg =  282, time steps =   10, qsz =    2, switch = off, t =     5642 ms, ax =  0.5754, ay = -0.3021, az =  9.9399, gx = -0.0021 rad/s, gy =  0.0015 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.5945 A, theta_roll_comp = -33.9391 mrad, theta_setpoint = -40.0000 mrad, 
msg =  283, time steps =   10, qsz =    2, switch = off, t =     5662 ms, ax =  0.5754, ay = -0.2961, az =  9.9375, gx = -0.0020 rad/s, gy =  0.0016 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.6244 A, theta_roll_comp = -33.9022 mrad, theta_setpoint = -40.0000 mrad, 
msg =  284, time steps =   10, qsz =    2, switch = off, t =     5682 ms, ax =  0.5766, ay = -0.2901, az =  9.9411, gx = -0.0017 rad/s, gy =  0.0014 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.6810 A, theta_roll_comp = -33.8478 mrad, theta_setpoint = -40.0000 mrad, 
msg =  285, time steps =   10, qsz =    2, switch = off, t =     5702 ms, ax =  0.5694, ay = -0.2925, az =  9.9447, gx = -0.0013 rad/s, gy =  0.0020 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.7631 A, theta_roll_comp = -33.7840 mrad, theta_setpoint = -40.0000 mrad, 
msg =  286, time steps =   10, qsz =    2, switch = off, t =     5722 ms, ax =  0.5706, ay = -0.2841, az =  9.9495, gx = -0.0012 rad/s, gy =  0.0020 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.7989 A, theta_roll_comp = -33.7099 mrad, theta_setpoint = -40.0000 mrad, 
msg =  287, time steps =   10, qsz =    2, switch = off, t =     5742 ms, ax =  0.5646, ay = -0.2865, az =  9.9495, gx = -0.0009 rad/s, gy =  0.0015 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.8595 A, theta_roll_comp = -33.6311 mrad, theta_setpoint = -40.0000 mrad, 
msg =  288, time steps =   10, qsz =    2, switch = off, t =     5762 ms, ax =  0.5634, ay = -0.2769, az =  9.9519, gx = -0.0005 rad/s, gy =  0.0018 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.9462 A, theta_roll_comp = -33.5382 mrad, theta_setpoint = -40.0000 mrad, 
msg =  289, time steps =   10, qsz =    2, switch = off, t =     5782 ms, ax =  0.5646, ay = -0.2889, az =  9.9471, gx = -0.0005 rad/s, gy =  0.0018 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.9609 A, theta_roll_comp = -33.4466 mrad, theta_setpoint = -40.0000 mrad, 
msg =  290, time steps =   10, qsz =    2, switch = off, t =     5802 ms, ax =  0.5802, ay = -0.2769, az =  9.9591, gx = -0.0002 rad/s, gy =  0.0014 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -1.0234 A, theta_roll_comp = -33.3557 mrad, theta_setpoint = -40.0000 mrad, 
msg =  291, time steps =   10, qsz =    2, switch = off, t =     5822 ms, ax =  0.5730, ay = -0.2733, az =  9.9495, gx =  0.0000 rad/s, gy =  0.0014 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -1.0885 A, theta_roll_comp = -33.2486 mrad, theta_setpoint = -40.0000 mrad, 
msg =  292, time steps =   10, qsz =    2, switch = off, t =     5842 ms, ax =  0.5814, ay = -0.2877, az =  9.9435, gx =  0.0003 rad/s, gy =  0.0020 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -1.1535 A, theta_roll_comp = -33.1414 mrad, theta_setpoint = -40.0000 mrad, 
