picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  181, time steps =   10, qsz =    2, switch = off, t =     3622 ms, ax =  0.4279, ay =  2.7643, az =  9.5347, gx = -0.0047 rad/s, gy =  0.0020 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -48.6867 A, theta_roll_comp = 269.6335 mrad, theta_setpoint = -40.0000 mrad, 
msg =  182, time steps =   10, qsz =    2, switch = off, t =     3642 ms, ax =  0.4255, ay =  2.7643, az =  9.5299, gx = -0.0046 rad/s, gy =  0.0023 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -48.7363 A, theta_roll_comp = 269.7933 mrad, theta_setpoint = -40.0000 mrad, 
msg =  183, time steps =   10, qsz =    2, switch = off, t =     3662 ms, ax =  0.4279, ay =  2.7631, az =  9.5323, gx = -0.0045 rad/s, gy =  0.0022 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -48.7847 A, theta_roll_comp = 269.9459 mrad, theta_setpoint = -40.0000 mrad, 
msg =  184, time steps =   10, qsz =    2, switch = off, t =     3682 ms, ax =  0.4148, ay =  2.7655, az =  9.5335, gx = -0.0043 rad/s, gy =  0.0019 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -48.8335 A, theta_roll_comp = 270.1010 mrad, theta_setpoint = -40.0000 mrad, 
msg =  185, time steps =   10, qsz =    2, switch = off, t =     3702 ms, ax =  0.4220, ay =  2.7679, az =  9.5443, gx = -0.0043 rad/s, gy =  0.0018 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -48.8582 A, theta_roll_comp = 270.2558 mrad, theta_setpoint = -40.0000 mrad, 
msg =  186, time steps =   10, qsz =    2, switch = off, t =     3722 ms, ax =  0.4291, ay =  2.7631, az =  9.5419, gx = -0.0049 rad/s, gy =  0.0022 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -48.7857 A, theta_roll_comp = 270.4016 mrad, theta_setpoint = -40.0000 mrad, 
msg =  187, time steps =   10, qsz =    2, switch = off, t =     3742 ms, ax =  0.4315, ay =  2.7571, az =  9.5371, gx = -0.0047 rad/s, gy =  0.0019 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -48.8294 A, theta_roll_comp = 270.5251 mrad, theta_setpoint = -40.0000 mrad, 
msg =  188, time steps =   10, qsz =    2, switch = off, t =     3762 ms, ax =  0.4363, ay =  2.7583, az =  9.5407, gx = -0.0045 rad/s, gy =  0.0015 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -48.8974 A, theta_roll_comp = 270.6504 mrad, theta_setpoint = -40.0000 mrad, 
msg =  189, time steps =   10, qsz =    2, switch = off, t =     3782 ms, ax =  0.4315, ay =  2.7511, az =  9.5371, gx = -0.0047 rad/s, gy =  0.0018 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -48.8677 A, theta_roll_comp = 270.7643 mrad, theta_setpoint = -40.0000 mrad, 
msg =  190, time steps =   10, qsz =    2, switch = off, t =     3802 ms, ax =  0.4375, ay =  2.7487, az =  9.5395, gx = -0.0046 rad/s, gy =  0.0019 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -48.9076 A, theta_roll_comp = 270.8641 mrad, theta_setpoint = -40.0000 mrad, 
msg =  191, time steps =   10, qsz =    2, switch = off, t =     3822 ms, ax =  0.4303, ay =  2.7607, az =  9.5503, gx = -0.0046 rad/s, gy =  0.0020 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -48.9254 A, theta_roll_comp = 270.9755 mrad, theta_setpoint = -40.0000 mrad, 
