picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 2209, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44182 ms, ax =  0.1343, ay = -0.3956, az =  9.9339, gx =  0.0010 rad/s, gy = -0.0500 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.6350, I_w_pitch = -0.1694 A, I_w_roll =  0.3840 A, theta_pitch = 4.47074mrad, theta_roll_comp = -39.9355 mrad, theta_setpoint = -40.0399 mrad, 
msg = 2210, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44202 ms, ax =  0.0683, ay = -0.4064, az =  9.9363, gx =  0.0008 rad/s, gy = -0.0632 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.4345, I_w_pitch =  0.5706 A, I_w_roll =  0.3145 A, theta_pitch = 3.05267mrad, theta_roll_comp = -39.9255 mrad, theta_setpoint = -39.9727 mrad, 
msg = 2211, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44222 ms, ax =  0.0503, ay = -0.4100, az =  9.9471, gx =  0.0002 rad/s, gy = -0.0668 rad/s, gz = -0.0162 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.9361 A, I_w_roll =  0.0890 A, theta_pitch = 1.57481mrad, theta_roll_comp = -39.9340 mrad, theta_setpoint = -40.0000 mrad, 
msg = 2212, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44242 ms, ax =  0.0360, ay = -0.3812, az =  9.9662, gx =  0.0016 rad/s, gy = -0.0647 rad/s, gz = -0.0180 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.0644 A, I_w_roll =  0.6188 A, theta_pitch = 0.15107mrad, theta_roll_comp = -39.8910 mrad, theta_setpoint = -40.0000 mrad, 
msg = 2213, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44262 ms, ax = -0.0084, ay = -0.3980, az =  9.9806, gx =  0.0011 rad/s, gy = -0.0564 rad/s, gz = -0.0162 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.7687, I_w_pitch =  0.9155 A, I_w_roll =  0.4280 A, theta_pitch = -1.05741mrad, theta_roll_comp = -39.8538 mrad, theta_setpoint = -39.9517 mrad, 
msg = 2214, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44282 ms, ax = -0.0348, ay = -0.3968, az =  9.9926, gx =  0.0007 rad/s, gy = -0.0426 rad/s, gz = -0.0173 rad/s, rpm_pitch = -5.4585, rpm_roll = -0.7687, I_w_pitch = -6.7003 A, I_w_roll =  0.3019 A, theta_pitch = -1.96956mrad, theta_roll_comp = -39.8195 mrad, theta_setpoint = -39.9517 mrad, 
msg = 2215, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44302 ms, ax = -0.0456, ay = -0.3764, az =  9.9710, gx =  0.0020 rad/s, gy = -0.0278 rad/s, gz = -0.0158 rad/s, rpm_pitch = -2.4454, rpm_roll = -0.7019, I_w_pitch = -3.2332 A, I_w_roll =  0.7914 A, theta_pitch = -2.53352mrad, theta_roll_comp = -39.7650 mrad, theta_setpoint = -39.9559 mrad, 
msg = 2216, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44322 ms, ax =  0.1906, ay = -0.4064, az =  9.9279, gx =  0.0016 rad/s, gy = -0.0250 rad/s, gz = -0.0139 rad/s, rpm_pitch = -2.4454, rpm_roll = -0.6016, I_w_pitch = -3.2498 A, I_w_roll =  0.6636 A, theta_pitch = -3.16867mrad, theta_roll_comp = -39.7413 mrad, theta_setpoint = -39.9622 mrad, 
msg = 2217, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44342 ms, ax =  0.0491, ay = -0.4004, az =  9.9483, gx =  0.0010 rad/s, gy = -0.0396 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.6016, I_w_pitch =  0.6682 A, I_w_roll =  0.4336 A, theta_pitch = -3.88256mrad, theta_roll_comp = -39.7338 mrad, theta_setpoint = -39.9622 mrad, 
msg = 2218, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44362 ms, ax =  0.1127, ay = -0.3764, az =  9.9459, gx =  0.0012 rad/s, gy = -0.0527 rad/s, gz = -0.0112 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.1671, I_w_pitch =  1.3410 A, I_w_roll =  0.5652 A, theta_pitch = -4.88814mrad, theta_roll_comp = -39.6651 mrad, theta_setpoint = -39.9895 mrad, 
msg = 2219, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44382 ms, ax = -0.0120, ay = -0.3992, az =  9.9423, gx =  0.0007 rad/s, gy = -0.0594 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.1671, I_w_pitch =  1.7711 A, I_w_roll =  0.3875 A, theta_pitch = -5.98059mrad, theta_roll_comp = -39.6433 mrad, theta_setpoint = -39.9895 mrad, 
msg = 2220, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44402 ms, ax = -0.0527, ay = -0.3836, az =  9.9794, gx =  0.0008 rad/s, gy = -0.0516 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0668, I_w_pitch =  1.6000 A, I_w_roll =  0.4493 A, theta_pitch = -6.89943mrad, theta_roll_comp = -39.6117 mrad, theta_setpoint = -39.9958 mrad, 
msg = 2221, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44422 ms, ax = -0.0755, ay = -0.3932, az =  9.9974, gx =  0.0018 rad/s, gy = -0.0368 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0668, I_w_pitch =  1.1013 A, I_w_roll =  0.7899 A, theta_pitch = -7.51610mrad, theta_roll_comp = -39.5756 mrad, theta_setpoint = -39.9958 mrad, 
msg = 2222, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44442 ms, ax = -0.0551, ay = -0.3440, az = 10.0034, gx =  0.0015 rad/s, gy = -0.0155 rad/s, gz = -0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0668, I_w_pitch =  0.2847 A, I_w_roll =  0.7166 A, theta_pitch = -7.75315mrad, theta_roll_comp = -39.5258 mrad, theta_setpoint = -39.9958 mrad, 
msg = 2223, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44462 ms, ax = -0.0300, ay = -0.3740, az =  9.9962, gx =  0.0027 rad/s, gy =  0.0063 rad/s, gz = -0.0136 rad/s, rpm_pitch =  0.0000, rpm_roll =  5.9158, I_w_pitch = -0.6144 A, I_w_roll =  1.3150 A, theta_pitch = -7.58242mrad, theta_roll_comp = -39.4542 mrad, theta_setpoint = -40.3715 mrad, 
