picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 8997, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   179942 ms, ax =  0.0420, ay = -0.5191, az =  9.9746, gx = -0.0042 rad/s, gy =  0.0181 rad/s, gz = -0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll = 49.6658, I_w_pitch = -1.6859 A, I_w_roll = -3.5050 A, theta_pitch = -3.59937mrad, theta_roll_comp = -48.1931 mrad, theta_setpoint = -43.1190 mrad, 
msg = 8998, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   179962 ms, ax =  0.0515, ay = -0.4963, az =  9.9686, gx = -0.0034 rad/s, gy =  0.0164 rad/s, gz = -0.0077 rad/s, rpm_pitch =  0.0000, rpm_roll = 49.6658, I_w_pitch = -1.6636 A, I_w_roll = -3.2637 A, theta_pitch = -3.28646mrad, theta_roll_comp = -48.2891 mrad, theta_setpoint = -43.1190 mrad, 
msg = 8999, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   179982 ms, ax =  0.0491, ay = -0.4747, az =  9.9567, gx = -0.0033 rad/s, gy =  0.0138 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = 43.6497, I_w_pitch = -1.5973 A, I_w_roll = -3.4011 A, theta_pitch = -3.01782mrad, theta_roll_comp = -48.3712 mrad, theta_setpoint = -42.7412 mrad, 
msg = 9000, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180002 ms, ax =  0.0479, ay = -0.5226, az =  9.9722, gx = -0.0013 rad/s, gy =  0.0108 rad/s, gz = -0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = 36.6310, I_w_pitch = -1.5114 A, I_w_roll = -2.8957 A, theta_pitch = -2.80943mrad, theta_roll_comp = -48.4145 mrad, theta_setpoint = -42.3004 mrad, 
msg = 9001, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180022 ms, ax =  0.0599, ay = -0.5095, az =  9.9567, gx = -0.0020 rad/s, gy =  0.0067 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = 36.6310, I_w_pitch = -1.3644 A, I_w_roll = -3.1473 A, theta_pitch = -2.68915mrad, theta_roll_comp = -48.4609 mrad, theta_setpoint = -42.3004 mrad, 
msg = 9002, nerr =   49p/  81r, time steps =   10, qsz =    3, switch = on, t =   180042 ms, ax =  0.0539, ay = -0.4579, az =  9.9650, gx = -0.0024 rad/s, gy =  0.0016 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = 36.6310, I_w_pitch = -1.1646 A, I_w_roll = -3.2931 A, theta_pitch = -2.67162mrad, theta_roll_comp = -48.4759 mrad, theta_setpoint = -42.3004 mrad, 
msg = 9003, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180062 ms, ax =  0.0575, ay = -0.4771, az =  9.9722, gx =  0.0000 rad/s, gy = -0.0028 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = 31.5508, I_w_pitch = -0.9800 A, I_w_roll = -2.5774 A, theta_pitch = -2.73021mrad, theta_roll_comp = -48.4649 mrad, theta_setpoint = -41.9814 mrad, 
msg = 9004, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180082 ms, ax =  0.0456, ay = -0.4543, az =  9.9591, gx = -0.0006 rad/s, gy = -0.0070 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = 27.5401, I_w_pitch = -0.7859 A, I_w_roll = -2.9109 A, theta_pitch = -2.88845mrad, theta_roll_comp = -48.4643 mrad, theta_setpoint = -41.7295 mrad, 
msg = 9005, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180102 ms, ax =  0.0396, ay = -0.4699, az =  9.9662, gx = -0.0009 rad/s, gy = -0.0105 rad/s, gz = -0.0141 rad/s, rpm_pitch =  0.0000, rpm_roll = 23.8302, I_w_pitch = -0.6166 A, I_w_roll = -3.1118 A, theta_pitch = -3.09380mrad, theta_roll_comp = -48.5003 mrad, theta_setpoint = -41.4965 mrad, 
msg = 9006, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180122 ms, ax =  0.0324, ay = -0.4903, az =  9.9722, gx =  0.0006 rad/s, gy = -0.0125 rad/s, gz = -0.0149 rad/s, rpm_pitch =  0.0000, rpm_roll = 23.8302, I_w_pitch = -0.5011 A, I_w_roll = -2.5918 A, theta_pitch = -3.33114mrad, theta_roll_comp = -48.4822 mrad, theta_setpoint = -41.4965 mrad, 
msg = 9007, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180142 ms, ax =  0.0240, ay = -0.4663, az =  9.9722, gx = -0.0005 rad/s, gy = -0.0130 rad/s, gz = -0.0172 rad/s, rpm_pitch =  0.0000, rpm_roll = 18.2487, I_w_pitch = -0.4429 A, I_w_roll = -3.1041 A, theta_pitch = -3.57677mrad, theta_roll_comp = -48.4802 mrad, theta_setpoint = -41.1460 mrad, 
