picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 1226, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24522 ms, ax =  0.0995, ay = -0.2517, az =  9.9567, gx = -0.0115 rad/s, gy =  0.0629 rad/s, gz = -0.0003 rad/s, rpm_pitch =  0.0000, rpm_roll = 89.8062, I_w_pitch = -1.7833 A, I_w_roll =  0.6926 A, theta_pitch = -14.88018mrad, theta_roll_comp = -33.8120 mrad, theta_setpoint = -45.6398 mrad, 
msg = 1227, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24542 ms, ax =  0.1067, ay = -0.3165, az =  9.9591, gx = -0.0099 rad/s, gy =  0.0653 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = 92.0120, I_w_pitch = -2.0838 A, I_w_roll =  1.2601 A, theta_pitch = -13.51650mrad, theta_roll_comp = -33.9299 mrad, theta_setpoint = -45.7784 mrad, 
msg = 1228, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24562 ms, ax =  0.0623, ay = -0.4184, az =  9.8859, gx = -0.0137 rad/s, gy =  0.0662 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = 92.0120, I_w_pitch = -2.3320 A, I_w_roll = -0.1712 A, theta_pitch = -12.11017mrad, theta_roll_comp = -34.2458 mrad, theta_setpoint = -45.7784 mrad, 
msg = 1229, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24582 ms, ax =  0.0527, ay = -0.4088, az =  9.8895, gx = -0.0178 rad/s, gy =  0.0651 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = 95.9559, I_w_pitch = -2.5009 A, I_w_roll = -1.6534 A, theta_pitch = -10.69999mrad, theta_roll_comp = -34.5871 mrad, theta_setpoint = -46.0260 mrad, 
msg = 1230, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24602 ms, ax =  0.0479, ay = -0.3728, az =  9.9207, gx = -0.0146 rad/s, gy =  0.0612 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = 95.9559, I_w_pitch = -2.5429 A, I_w_roll = -0.6822 A, theta_pitch = -9.35516mrad, theta_roll_comp = -34.9555 mrad, theta_setpoint = -46.0260 mrad, 
msg = 1231, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24622 ms, ax =  0.0659, ay = -0.4124, az =  9.9039, gx = -0.0117 rad/s, gy =  0.0573 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = 98.0281, I_w_pitch = -2.5727 A, I_w_roll =  0.2294 A, theta_pitch = -8.12636mrad, theta_roll_comp = -35.3697 mrad, theta_setpoint = -46.1562 mrad, 
msg = 1232, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24642 ms, ax =  0.0587, ay = -0.4279, az =  9.9135, gx = -0.0133 rad/s, gy =  0.0538 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = 98.7968, I_w_pitch = -2.6034 A, I_w_roll = -0.4620 A, theta_pitch = -6.99858mrad, theta_roll_comp = -35.7484 mrad, theta_setpoint = -46.2044 mrad, 
msg = 1233, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24662 ms, ax =  0.0635, ay = -0.4184, az =  9.9267, gx = -0.0083 rad/s, gy =  0.0489 rad/s, gz = -0.0128 rad/s, rpm_pitch =  0.0000, rpm_roll = 98.7968, I_w_pitch = -2.5617 A, I_w_roll =  1.1285 A, theta_pitch = -5.96272mrad, theta_roll_comp = -36.0832 mrad, theta_setpoint = -46.2044 mrad, 
msg = 1234, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24682 ms, ax =  0.0503, ay = -0.4088, az =  9.8943, gx = -0.0067 rad/s, gy =  0.0445 rad/s, gz = -0.0157 rad/s, rpm_pitch =  0.0000, rpm_roll = 98.5628, I_w_pitch = -2.5238 A, I_w_roll =  1.5626 A, theta_pitch = -5.04403mrad, theta_roll_comp = -36.3812 mrad, theta_setpoint = -46.1897 mrad, 
msg = 1235, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24702 ms, ax =  0.0324, ay = -0.3992, az =  9.8979, gx = -0.0090 rad/s, gy =  0.0414 rad/s, gz = -0.0170 rad/s, rpm_pitch =  0.0000, rpm_roll = 98.5628, I_w_pitch = -2.5294 A, I_w_roll =  0.6874 A, theta_pitch = -4.18996mrad, theta_roll_comp = -36.5885 mrad, theta_setpoint = -46.1897 mrad, 
msg = 1236, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24722 ms, ax =  0.0240, ay = -0.3992, az =  9.9399, gx = -0.0054 rad/s, gy =  0.0377 rad/s, gz = -0.0202 rad/s, rpm_pitch =  0.0000, rpm_roll = 97.9612, I_w_pitch = -2.5009 A, I_w_roll =  1.8746 A, theta_pitch = -3.38583mrad, theta_roll_comp = -36.7286 mrad, theta_setpoint = -46.1520 mrad, 
