picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.1004 A, I_w_roll = -12.4082 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =    1, nerr =    0p/   0r, time steps =    9, qsz =    2, switch = off, t =       22 ms, ax = -0.1007, ay = -0.5047, az =  9.9555, gx = -0.0177 rad/s, gy =  0.0056 rad/s, gz =  0.0217 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.7400 A, I_w_roll =  9.6454 A, theta_pitch = 0.09927mrad, theta_roll_comp = -0.4308 mrad, theta_setpoint = -40.0000 mrad, 
msg =    2, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =       42 ms, ax = -0.0959, ay = -0.4891, az =  9.9471, gx = -0.0175 rad/s, gy =  0.0043 rad/s, gz =  0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.7302 A, I_w_roll =  9.1607 A, theta_pitch = 0.38884mrad, theta_roll_comp = -1.7589 mrad, theta_setpoint = -40.0000 mrad, 
msg =    3, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =       62 ms, ax = -0.0971, ay = -0.4963, az =  9.9662, gx = -0.0170 rad/s, gy =  0.0032 rad/s, gz = -0.0056 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.7262 A, I_w_roll =  8.8301 A, theta_pitch = 0.64663mrad, theta_roll_comp = -3.0515 mrad, theta_setpoint = -40.0000 mrad, 
msg =    4, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =       82 ms, ax = -0.0995, ay = -0.4879, az =  9.9722, gx = -0.0169 rad/s, gy =  0.0027 rad/s, gz = -0.0189 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.7405 A, I_w_roll =  8.3756 A, theta_pitch = 0.88347mrad, theta_roll_comp = -4.3043 mrad, theta_setpoint = -40.0000 mrad, 
msg =    5, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      102 ms, ax = -0.1055, ay = -0.5035, az =  9.9519, gx = -0.0170 rad/s, gy =  0.0012 rad/s, gz = -0.0293 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.7156 A, I_w_roll =  7.8365 A, theta_pitch = 1.10830mrad, theta_roll_comp = -5.5354 mrad, theta_setpoint = -40.0000 mrad, 
msg =    6, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      122 ms, ax = -0.1247, ay = -0.5107, az =  9.9435, gx = -0.0166 rad/s, gy = -0.0006 rad/s, gz = -0.0361 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.6723 A, I_w_roll =  7.4829 A, theta_pitch = 1.31659mrad, theta_roll_comp = -6.7689 mrad, theta_setpoint = -40.0000 mrad, 
msg =    7, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      142 ms, ax = -0.1606, ay = -0.5562, az =  9.9615, gx = -0.0170 rad/s, gy = -0.0037 rad/s, gz = -0.0356 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5826 A, I_w_roll =  6.8365 A, theta_pitch = 1.53547mrad, theta_roll_comp = -8.0355 mrad, theta_setpoint = -40.0000 mrad, 
msg =    8, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      162 ms, ax = -0.2146, ay = -0.5982, az =  9.9543, gx = -0.0162 rad/s, gy = -0.0094 rad/s, gz = -0.0274 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3864 A, I_w_roll =  6.5849 A, theta_pitch = 1.75418mrad, theta_roll_comp = -9.3634 mrad, theta_setpoint = -40.0000 mrad, 
msg =    9, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      182 ms, ax = -0.2074, ay = -0.6197, az =  9.9638, gx = -0.0154 rad/s, gy = -0.0155 rad/s, gz = -0.0174 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1615 A, I_w_roll =  6.3307 A, theta_pitch = 1.88823mrad, theta_roll_comp = -10.6981 mrad, theta_setpoint = -40.0000 mrad, 
msg =   10, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      202 ms, ax = -0.1858, ay = -0.6161, az =  9.9423, gx = -0.0127 rad/s, gy = -0.0213 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9297 A, I_w_roll =  6.7444 A, theta_pitch = 1.87002mrad, theta_roll_comp = -11.9940 mrad, theta_setpoint = -40.0000 mrad, 
