picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.0485 A, I_w_roll =  2.9387 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =    1, nerr =    0p/   0r, time steps =    9, qsz =    2, switch = off, t =       22 ms, ax =  0.0456, ay = -0.2841, az =  9.9579, gx = -0.0058 rad/s, gy =  0.0283 rad/s, gz =  0.0028 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.6530 A, I_w_roll = 13.8788 A, theta_pitch = 0.14937mrad, theta_roll_comp = -0.2165 mrad, theta_setpoint = -40.0000 mrad, 
msg =    2, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =       42 ms, ax =  0.0396, ay = -0.3225, az =  9.9567, gx = -0.0022 rad/s, gy =  0.0333 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.9341 A, I_w_roll = 14.8672 A, theta_pitch = 0.67431mrad, theta_roll_comp = -0.8914 mrad, theta_setpoint = -40.0000 mrad, 
msg =    3, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =       62 ms, ax =  0.0252, ay = -0.3944, az =  9.9555, gx =  0.0012 rad/s, gy =  0.0381 rad/s, gz = -0.0286 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.2216 A, I_w_roll = 15.7925 A, theta_pitch = 1.31237mrad, theta_roll_comp = -1.6073 mrad, theta_setpoint = -40.0000 mrad, 
msg =    4, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =       82 ms, ax = -0.0012, ay = -0.4567, az =  9.9626, gx =  0.0068 rad/s, gy =  0.0429 rad/s, gz = -0.0414 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.5280 A, I_w_roll = 17.4572 A, theta_pitch = 2.07697mrad, theta_roll_comp = -2.3390 mrad, theta_setpoint = -40.0000 mrad, 
msg =    5, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      102 ms, ax = -0.0396, ay = -0.4951, az =  9.9638, gx =  0.0150 rad/s, gy =  0.0462 rad/s, gz = -0.0494 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.7953 A, I_w_roll = 20.0298 A, theta_pitch = 2.97146mrad, theta_roll_comp = -3.0145 mrad, theta_setpoint = -40.0000 mrad, 
msg =    6, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      122 ms, ax = -0.0779, ay = -0.5202, az =  9.9567, gx =  0.0219 rad/s, gy =  0.0493 rad/s, gz = -0.0527 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.0706 A, I_w_roll = 22.2175 A, theta_pitch = 3.98981mrad, theta_roll_comp = -3.6039 mrad, theta_setpoint = -40.0000 mrad, 
msg =    7, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      142 ms, ax = -0.0947, ay = -0.5334, az =  9.9471, gx =  0.0285 rad/s, gy =  0.0513 rad/s, gz = -0.0495 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.3147 A, I_w_roll = 24.3622 A, theta_pitch = 5.08475mrad, theta_roll_comp = -4.0677 mrad, theta_setpoint = -40.0000 mrad, 
msg =    8, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      162 ms, ax = -0.0983, ay = -0.5286, az =  9.9591, gx =  0.0376 rad/s, gy =  0.0528 rad/s, gz = -0.0391 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.5426 A, I_w_roll = 27.4060 A, theta_pitch = 6.21366mrad, theta_roll_comp = -4.3808 mrad, theta_setpoint = -40.0000 mrad, 
msg =    9, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      182 ms, ax = -0.1103, ay = -0.4903, az =  9.9686, gx =  0.0435 rad/s, gy =  0.0552 rad/s, gz = -0.0220 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.8125 A, I_w_roll = 29.4089 A, theta_pitch = 7.37336mrad, theta_roll_comp = -4.5000 mrad, theta_setpoint = -40.0000 mrad, 
msg =   10, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      202 ms, ax = -0.1199, ay = -0.4208, az =  9.9543, gx =  0.0492 rad/s, gy =  0.0584 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.1204 A, I_w_roll = 31.4601 A, theta_pitch = 8.57399mrad, theta_roll_comp = -4.3819 mrad, theta_setpoint = -40.0000 mrad, 
msg =   11, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      222 ms, ax = -0.1343, ay = -0.3476, az =  9.9207, gx =  0.0552 rad/s, gy =  0.0614 rad/s, gz = -0.0071 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.4338 A, I_w_roll = 33.7050 A, theta_pitch = 9.84650mrad, theta_roll_comp = -4.0126 mrad, theta_setpoint = -40.0000 mrad, 
