picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch = -5.5459, rpm_roll = -0.0000, I_w_pitch = -3.5804 A, I_w_roll = -18.7697 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =    1, nerr =    0p/   0r, time steps =    9, qsz =    2, switch = off, t =       22 ms, ax = -1.5140, ay = -0.7348, az =  9.9986, gx =  0.0216 rad/s, gy = -0.2054 rad/s, gz =  0.1124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.7690 A, I_w_roll = 23.4353 A, theta_pitch = -0.34773mrad, theta_roll_comp = -0.3263 mrad, theta_setpoint = -40.0000 mrad, 
msg =    2, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =       42 ms, ax = -1.4193, ay = -0.6269, az =  9.6582, gx =  0.0300 rad/s, gy = -0.2643 rad/s, gz =  0.1025 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.3923 A, I_w_roll = 26.0444 A, theta_pitch = -2.14180mrad, theta_roll_comp = -1.1438 mrad, theta_setpoint = -40.0000 mrad, 
msg =    3, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =       62 ms, ax = -1.6111, ay = -0.6161, az = 10.9636, gx =  0.0381 rad/s, gy = -0.3095 rad/s, gz =  0.0827 rad/s, rpm_pitch = -7.3799, rpm_roll = -0.0000, I_w_pitch =  1.9008 A, I_w_roll = 28.6799 A, theta_pitch = -5.01000mrad, theta_roll_comp = -1.6622 mrad, theta_setpoint = -40.0000 mrad, 
msg =    4, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =       82 ms, ax = -2.1313, ay = -0.6353, az = 12.8576, gx =  0.0624 rad/s, gy = -0.3121 rad/s, gz =  0.0220 rad/s, rpm_pitch = -7.3799, rpm_roll = -0.0000, I_w_pitch =  2.4567 A, I_w_roll = 37.1515 A, theta_pitch = -8.04176mrad, theta_roll_comp = -1.6880 mrad, theta_setpoint = -40.0000 mrad, 
msg =    5, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      102 ms, ax = -2.1625, ay = -0.4999, az = 11.6732, gx =  0.0476 rad/s, gy = -0.2761 rad/s, gz = -0.0075 rad/s, rpm_pitch = -13.4061, rpm_roll = -0.0000, I_w_pitch = -6.6011 A, I_w_roll = 32.0563 A, theta_pitch = -10.22543mrad, theta_roll_comp = -1.4932 mrad, theta_setpoint = -40.0000 mrad, 
msg =    6, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      122 ms, ax = -1.8005, ay = -0.3692, az =  9.3213, gx =  0.0465 rad/s, gy = -0.2492 rad/s, gz = -0.0258 rad/s, rpm_pitch = -14.6288, rpm_roll = -0.0000, I_w_pitch = -9.0985 A, I_w_roll = 31.7640 A, theta_pitch = -11.49884mrad, theta_roll_comp = -1.2920 mrad, theta_setpoint = -40.0000 mrad, 
msg =    7, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      142 ms, ax = -1.7034, ay = -0.2338, az =  8.2652, gx =  0.0576 rad/s, gy = -0.2422 rad/s, gz = -0.0502 rad/s, rpm_pitch = -14.6288, rpm_roll = -0.0000, I_w_pitch = -9.2745 A, I_w_roll = 35.7933 A, theta_pitch = -12.20758mrad, theta_roll_comp = -0.8891 mrad, theta_setpoint = -40.0000 mrad, 
msg =    8, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      162 ms, ax = -2.0007, ay = -0.1582, az =  9.1547, gx =  0.0602 rad/s, gy = -0.2311 rad/s, gz = -0.0625 rad/s, rpm_pitch = -9.1703, rpm_roll = -0.0000, I_w_pitch = -2.4731 A, I_w_roll = 37.0353 A, theta_pitch = -12.50617mrad, theta_roll_comp = -0.1143 mrad, theta_setpoint = -40.0000 mrad, 
msg =    9, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      182 ms, ax = -2.4490, ay = -0.2457, az = 10.6663, gx =  0.0597 rad/s, gy = -0.2062 rad/s, gz = -0.0931 rad/s, rpm_pitch = -9.1703, rpm_roll = -0.0000, I_w_pitch = -3.5146 A, I_w_roll = 37.1805 A, theta_pitch = -12.20251mrad, theta_roll_comp =  0.7148 mrad, theta_setpoint = -40.0000 mrad, 
msg =   10, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      202 ms, ax = -2.5917, ay = -0.2877, az = 10.6315, gx =  0.0589 rad/s, gy = -0.1793 rad/s, gz = -0.1413 rad/s, rpm_pitch = -14.8472, rpm_roll = -0.0000, I_w_pitch = -12.2371 A, I_w_roll = 37.1527 A, theta_pitch = -11.13595mrad, theta_roll_comp =  1.3445 mrad, theta_setpoint = -40.0000 mrad, 
msg =   11, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      222 ms, ax = -2.3795, ay = -0.2122, az =  9.2530, gx =  0.0548 rad/s, gy = -0.1632 rad/s, gz = -0.1626 rad/s, rpm_pitch = -14.3231, rpm_roll = -0.0000, I_w_pitch = -12.4524 A, I_w_roll = 35.9354 A, theta_pitch = -9.39037mrad, theta_roll_comp =  1.9130 mrad, theta_setpoint = -40.0000 mrad, 
msg =   12, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      242 ms, ax = -2.2524, ay = -0.1426, az =  8.4822, gx =  0.0610 rad/s, gy = -0.1655 rad/s, gz = -0.1762 rad/s, rpm_pitch = -14.3231, rpm_roll = -0.0000, I_w_pitch = -12.6642 A, I_w_roll = 38.4181 A, theta_pitch = -7.37450mrad, theta_roll_comp =  2.6438 mrad, theta_setpoint = -40.0000 mrad, 
msg =   13, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      262 ms, ax = -2.5065, ay = -0.1750, az =  9.1511, gx =  0.0711 rad/s, gy = -0.1711 rad/s, gz = -0.2099 rad/s, rpm_pitch = -10.2620, rpm_roll = -0.0000, I_w_pitch = -7.3961 A, I_w_roll = 42.3154 A, theta_pitch = -5.29843mrad, theta_roll_comp =  3.5322 mrad, theta_setpoint = -40.0000 mrad, 
msg =   14, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      282 ms, ax = -2.7847, ay = -0.2230, az = 10.2983, gx =  0.0625 rad/s, gy = -0.1661 rad/s, gz = -0.2518 rad/s, rpm_pitch = -8.5590, rpm_roll = -0.0000, I_w_pitch = -5.6499 A, I_w_roll = 39.6311 A, theta_pitch = -3.27984mrad, theta_roll_comp =  4.3946 mrad, theta_setpoint = -40.0000 mrad, 
msg =   15, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      302 ms, ax = -2.8002, ay = -0.2661, az = 10.2216, gx =  0.0564 rad/s, gy = -0.1546 rad/s, gz = -0.2859 rad/s, rpm_pitch = -8.5590, rpm_roll = -0.0000, I_w_pitch = -6.4358 A, I_w_roll = 37.7396 A, theta_pitch = -1.12976mrad, theta_roll_comp =  5.0253 mrad, theta_setpoint = -40.0000 mrad, 
msg =   16, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      322 ms, ax = -2.6780, ay = -0.3153, az =  9.3489, gx =  0.0593 rad/s, gy = -0.1479 rad/s, gz = -0.2992 rad/s, rpm_pitch = -11.4410, rpm_roll = -0.0000, I_w_pitch = -10.8745 A, I_w_roll = 38.9412 A, theta_pitch = 1.34691mrad, theta_roll_comp =  5.4661 mrad, theta_setpoint = -40.0000 mrad, 
msg =   17, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      342 ms, ax = -2.6012, ay = -0.3368, az =  9.0085, gx =  0.0596 rad/s, gy = -0.1483 rad/s, gz = -0.2963 rad/s, rpm_pitch = -11.4410, rpm_roll = -0.0000, I_w_pitch = -11.2495 A, I_w_roll = 39.1780 A, theta_pitch = 3.95312mrad, theta_roll_comp =  5.8251 mrad, theta_setpoint = -40.0000 mrad, 
msg =   18, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      362 ms, ax = -2.5869, ay = -0.2829, az =  9.4292, gx =  0.0638 rad/s, gy = -0.1459 rad/s, gz = -0.2973 rad/s, rpm_pitch = -7.2052, rpm_roll = -0.0000, I_w_pitch = -6.1248 A, I_w_roll = 40.8537 A, theta_pitch = 6.39047mrad, theta_roll_comp =  6.2860 mrad, theta_setpoint = -40.0000 mrad, 
msg =   19, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      382 ms, ax = -2.5845, ay = -0.1726, az =  9.9171, gx =  0.0584 rad/s, gy = -0.1310 rad/s, gz = -0.3020 rad/s, rpm_pitch = -6.8559, rpm_roll = -0.0000, I_w_pitch = -6.6032 A, I_w_roll = 39.1957 A, theta_pitch = 8.67438mrad, theta_roll_comp =  6.9180 mrad, theta_setpoint = -40.0000 mrad, 
msg =   20, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      402 ms, ax = -2.5485, ay = -0.1343, az =  9.8727, gx =  0.0485 rad/s, gy = -0.1088 rad/s, gz = -0.2973 rad/s, rpm_pitch = -6.8559, rpm_roll = -0.0000, I_w_pitch = -7.8652 A, I_w_roll = 35.9911 A, theta_pitch = 11.15801mrad, theta_roll_comp =  7.5281 mrad, theta_setpoint = -40.0000 mrad, 
msg =   21, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      422 ms, ax = -2.4610, ay = -0.1486, az =  9.4532, gx =  0.0400 rad/s, gy = -0.0901 rad/s, gz = -0.2973 rad/s, rpm_pitch = -7.6419, rpm_roll = -0.0000, I_w_pitch = -10.0756 A, I_w_roll = 33.1802 A, theta_pitch = 14.01223mrad, theta_roll_comp =  7.9576 mrad, theta_setpoint = -40.0000 mrad, 
msg =   22, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      442 ms, ax = -2.4430, ay = -0.1403, az =  9.2578, gx =  0.0349 rad/s, gy = -0.0771 rad/s, gz = -0.2947 rad/s, rpm_pitch = -7.6419, rpm_roll = -0.0000, I_w_pitch = -11.0738 A, I_w_roll = 31.5096 A, theta_pitch = 17.18707mrad, theta_roll_comp =  8.2085 mrad, theta_setpoint = -40.0000 mrad, 
msg =   23, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      462 ms, ax = -2.4586, ay = -0.1031, az =  9.4676, gx =  0.0287 rad/s, gy = -0.0641 rad/s, gz = -0.2782 rad/s, rpm_pitch = -1.4847, rpm_roll = -0.0000, I_w_pitch = -3.9734 A, I_w_roll = 29.4047 A, theta_pitch = 20.54097mrad, theta_roll_comp =  8.4222 mrad, theta_setpoint = -40.0000 mrad, 
msg =   24, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      482 ms, ax = -2.4622, ay = -0.1115, az =  9.7553, gx =  0.0187 rad/s, gy = -0.0467 rad/s, gz = -0.2602 rad/s, rpm_pitch = -5.3275, rpm_roll = -0.0000, I_w_pitch = -10.2584 A, I_w_roll = 25.9408 A, theta_pitch = 24.00386mrad, theta_roll_comp =  8.5005 mrad, theta_setpoint = -40.0000 mrad, 
