picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =    6, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      122 ms, ax =  0.1558, ay =  0.0060, az =  9.9483, gx = -0.0138 rad/s, gy = -0.0050 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1111 A, I_w_roll = 10.6286 A, theta_pitch = -1.25275mrad, theta_roll_comp = -1.3514 mrad, theta_setpoint = -40.0000 mrad, 
msg =    7, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      142 ms, ax =  0.1307, ay = -0.0707, az =  9.8260, gx = -0.0287 rad/s, gy = -0.0105 rad/s, gz = -0.0170 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8293 A, I_w_roll =  5.2386 A, theta_pitch = -1.67596mrad, theta_roll_comp = -1.7772 mrad, theta_setpoint = -40.0000 mrad, 
msg =    8, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      162 ms, ax =  0.0072, ay = -0.0204, az = 10.0094, gx = -0.0261 rad/s, gy = -0.0173 rad/s, gz = -0.0033 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.4962 A, I_w_roll =  5.9895 A, theta_pitch = -2.08567mrad, theta_roll_comp = -2.2304 mrad, theta_setpoint = -40.0000 mrad, 
msg =    9, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      182 ms, ax =  0.1283, ay = -0.2421, az =  9.9770, gx = -0.0147 rad/s, gy = -0.0198 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3069 A, I_w_roll =  9.4590 A, theta_pitch = -2.67253mrad, theta_roll_comp = -3.4600 mrad, theta_setpoint = -40.0000 mrad, 
msg =   10, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      202 ms, ax =  0.2697, ay = -0.7660, az =  9.8368, gx = -0.0299 rad/s, gy = -0.0205 rad/s, gz = -0.0181 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.1676 A, I_w_roll =  3.4201 A, theta_pitch = -3.42366mrad, theta_roll_comp = -5.2749 mrad, theta_setpoint = -40.0000 mrad, 
msg =   11, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      222 ms, ax =  0.2134, ay = -0.5790, az =  9.9135, gx = -0.0250 rad/s, gy = -0.0201 rad/s, gz = -0.0265 rad/s, rpm_pitch =  0.0000, rpm_roll =  7.1190, I_w_pitch = -0.0729 A, I_w_roll =  4.7381 A, theta_pitch = -4.16170mrad, theta_roll_comp = -6.7380 mrad, theta_setpoint = -40.4471 mrad, 
msg =   12, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      242 ms, ax =  0.2050, ay = -0.3584, az =  9.9003, gx = -0.0033 rad/s, gy = -0.0199 rad/s, gz = -0.0361 rad/s, rpm_pitch =  0.0000, rpm_roll =  7.1190, I_w_pitch =  0.0310 A, I_w_roll = 11.9910 A, theta_pitch = -4.88992mrad, theta_roll_comp = -7.5968 mrad, theta_setpoint = -40.4471 mrad, 
msg =   13, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      262 ms, ax =  0.1822, ay = -0.3476, az =  9.9555, gx = -0.0119 rad/s, gy = -0.0161 rad/s, gz = -0.0345 rad/s, rpm_pitch =  0.0000, rpm_roll =  5.0468, I_w_pitch = -0.0268 A, I_w_roll =  8.5880 A, theta_pitch = -5.53446mrad, theta_roll_comp = -8.4010 mrad, theta_setpoint = -40.3169 mrad, 
msg =   14, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      282 ms, ax =  0.1642, ay = -0.1163, az = 10.0058, gx = -0.0133 rad/s, gy = -0.0149 rad/s, gz = -0.0250 rad/s, rpm_pitch =  0.0000, rpm_roll =  4.4786, I_w_pitch =  0.0015 A, I_w_roll =  7.8704 A, theta_pitch = -6.04243mrad, theta_roll_comp = -8.9943 mrad, theta_setpoint = -40.2813 mrad, 
msg =   15, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      302 ms, ax =  0.1343, ay = -0.1558, az =  9.9399, gx = -0.0095 rad/s, gy = -0.0145 rad/s, gz = -0.0056 rad/s, rpm_pitch =  0.0000, rpm_roll =  4.4786, I_w_pitch =  0.0540 A, I_w_roll =  9.0251 A, theta_pitch = -6.49931mrad, theta_roll_comp = -9.3697 mrad, theta_setpoint = -40.2813 mrad, 
msg =   16, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      322 ms, ax =  0.1379, ay = -0.2134, az =  9.9447, gx = -0.0210 rad/s, gy = -0.0131 rad/s, gz =  0.0130 rad/s, rpm_pitch =  0.0000, rpm_roll =  7.5535, I_w_pitch =  0.0658 A, I_w_roll =  4.8758 A, theta_pitch = -6.93271mrad, theta_roll_comp = -9.9163 mrad, theta_setpoint = -40.4744 mrad, 
msg =   17, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      342 ms, ax =  0.1403, ay = -0.1403, az =  9.9806, gx = -0.0213 rad/s, gy = -0.0134 rad/s, gz =  0.0242 rad/s, rpm_pitch =  0.0000, rpm_roll =  7.5535, I_w_pitch =  0.1376 A, I_w_roll =  4.5485 A, theta_pitch = -7.34079mrad, theta_roll_comp = -10.5016 mrad, theta_setpoint = -40.4744 mrad, 
