picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch = -0.0000, rpm_roll =  0.0000, I_w_pitch =  0.0000 A, I_w_roll = 8893892.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = 47223.9258 mrad, 
msg =    1, nerr =    0p/   0r, time steps =    9, qsz =    2, switch = off, t =       22 ms, ax =  0.0012, ay = -0.0096, az =  1.3270, gx =  0.0574 rad/s, gy = -0.0699 rad/s, gz =  0.0554 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.3618 A, I_w_roll = 36.2289 A, theta_pitch = -0.44630mrad, theta_roll_comp =  0.3166 mrad, theta_setpoint = -40.0000 mrad, 
msg =    2, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =       42 ms, ax = -0.0048, ay = -0.0444, az =  5.5297, gx =  0.1466 rad/s, gy = -0.2089 rad/s, gz =  0.5090 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.4768 A, I_w_roll = 68.5386 A, theta_pitch = -4.14333mrad, theta_roll_comp =  3.0292 mrad, theta_setpoint = -40.0000 mrad, 
msg =    3, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =       62 ms, ax = -0.0072, ay = -0.0491, az =  7.6935, gx =  0.0739 rad/s, gy = -0.1065 rad/s, gz =  0.2624 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.8132 A, I_w_roll = 43.8455 A, theta_pitch = -7.02466mrad, theta_roll_comp =  4.9108 mrad, theta_setpoint = -40.0000 mrad, 
msg =    4, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =       82 ms, ax = -0.0156, ay = -0.0575, az =  8.7747, gx =  0.0375 rad/s, gy = -0.0556 rad/s, gz =  0.1371 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.9822 A, I_w_roll = 31.4051 A, theta_pitch = -8.38168mrad, theta_roll_comp =  5.7334 mrad, theta_setpoint = -40.0000 mrad, 
msg =    5, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      102 ms, ax = -0.0180, ay = -0.0647, az =  9.3681, gx =  0.0171 rad/s, gy = -0.0274 rad/s, gz =  0.0668 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.9392 A, I_w_roll = 24.3801 A, theta_pitch = -8.95648mrad, theta_roll_comp =  5.9971 mrad, theta_setpoint = -40.0000 mrad, 
msg =    6, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      122 ms, ax = -0.0312, ay = -0.0659, az =  9.6522, gx =  0.0066 rad/s, gy = -0.0127 rad/s, gz =  0.0305 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.3752 A, I_w_roll = 20.6848 A, theta_pitch = -9.10233mrad, theta_roll_comp =  5.9631 mrad, theta_setpoint = -40.0000 mrad, 
msg =    7, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      142 ms, ax = -0.0491, ay = -0.0803, az =  9.8056, gx =  0.0014 rad/s, gy = -0.0061 rad/s, gz =  0.0126 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.0959 A, I_w_roll = 18.7881 A, theta_pitch = -9.01531mrad, theta_roll_comp =  5.7651 mrad, theta_setpoint = -40.0000 mrad, 
msg =    8, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      162 ms, ax = -0.0372, ay = -0.0971, az =  9.8943, gx = -0.0018 rad/s, gy = -0.0028 rad/s, gz =  0.0021 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.0653 A, I_w_roll = 17.5489 A, theta_pitch = -8.82834mrad, theta_roll_comp =  5.4635 mrad, theta_setpoint = -40.0000 mrad, 
msg =    9, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      182 ms, ax = -0.0348, ay = -0.0863, az =  9.9303, gx = -0.0033 rad/s, gy = -0.0012 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.1605 A, I_w_roll = 16.8983 A, theta_pitch = -8.62005mrad, theta_roll_comp =  5.1185 mrad, theta_setpoint = -40.0000 mrad, 
msg =   10, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      202 ms, ax = -0.0324, ay = -0.0839, az =  9.9638, gx = -0.0037 rad/s, gy = -0.0006 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2157 A, I_w_roll = 16.6239 A, theta_pitch = -8.39416mrad, theta_roll_comp =  4.7820 mrad, theta_setpoint = -40.0000 mrad, 
