picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    4, qsz =  116, switch = off, t =      153 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =    1, nerr =    0p/   0r, time steps =    5, qsz =  149, switch = off, t =      204 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =    2, nerr =    0p/   0r, time steps =    5, qsz =  183, switch = off, t =      256 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =    3, nerr =    0p/   0r, time steps =    5, qsz =  217, switch = off, t =      307 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =    4, nerr =    0p/   1r, time steps =    5, qsz =  252, switch = off, t =      359 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =    5, nerr =    0p/   1r, time steps =    5, qsz =  285, switch = off, t =      410 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =    6, nerr =    0p/   1r, time steps =    5, qsz =  323, switch = off, t =      462 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =    7, nerr =    0p/   1r, time steps =    5, qsz =  355, switch = off, t =      513 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =    8, nerr =    0p/   1r, time steps =    5, qsz =  391, switch = off, t =      565 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =    9, nerr =    0p/   1r, time steps =    5, qsz =  422, switch = off, t =      616 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =   10, nerr =    0p/   1r, time steps =    1, qsz =  420, switch = off, t =      616 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
