picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =   81, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     4294 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -548.9564 A, I_w_roll = 2995.3262 A, theta_pitch = 2697.66602mrad, theta_roll_comp = 4274.5469 mrad, theta_setpoint = -40.0000 mrad, 
msg =   82, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     4346 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -549.6346 A, I_w_roll = 2998.1919 A, theta_pitch = 2702.18750mrad, theta_roll_comp = 4281.7109 mrad, theta_setpoint = -40.0000 mrad, 
msg =   83, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     4398 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -550.2789 A, I_w_roll = 3000.9143 A, theta_pitch = 2706.48242mrad, theta_roll_comp = 4288.5176 mrad, theta_setpoint = -40.0000 mrad, 
msg =   84, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     4450 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -550.8870 A, I_w_roll = 3003.4824 A, theta_pitch = 2710.53589mrad, theta_roll_comp = 4294.9375 mrad, theta_setpoint = -40.0000 mrad, 
msg =   85, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     4502 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -551.4663 A, I_w_roll = 3005.9304 A, theta_pitch = 2714.39844mrad, theta_roll_comp = 4301.0576 mrad, theta_setpoint = -40.0000 mrad, 
msg =   86, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     4554 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -552.0123 A, I_w_roll = 3008.2371 A, theta_pitch = 2718.03857mrad, theta_roll_comp = 4306.8242 mrad, theta_setpoint = -40.0000 mrad, 
msg =   87, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     4606 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -552.5334 A, I_w_roll = 3010.4395 A, theta_pitch = 2721.51245mrad, theta_roll_comp = 4312.3301 mrad, theta_setpoint = -40.0000 mrad, 
msg =   88, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     4657 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -553.0246 A, I_w_roll = 3012.5146 A, theta_pitch = 2724.78711mrad, theta_roll_comp = 4317.5181 mrad, theta_setpoint = -40.0000 mrad, 
msg =   89, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     4709 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -553.4926 A, I_w_roll = 3014.4927 A, theta_pitch = 2727.90723mrad, theta_roll_comp = 4322.4634 mrad, theta_setpoint = -40.0000 mrad, 
msg =   90, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     4761 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -553.9342 A, I_w_roll = 3016.3594 A, theta_pitch = 2730.85083mrad, theta_roll_comp = 4327.1299 mrad, theta_setpoint = -40.0000 mrad, 
msg =   91, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     4813 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -554.3547 A, I_w_roll = 3018.1367 A, theta_pitch = 2733.65479mrad, theta_roll_comp = 4331.5732 mrad, theta_setpoint = -40.0000 mrad, 
