picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =   82, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      822 ms, ax =  0.0611, ay = -6.4156, az =  7.6563, gx = -0.0010 rad/s, gy = -0.0162 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1531 A, I_w_roll = -137.3825 A, theta_pitch = -13.36477mrad, theta_roll_comp = -382.5641 mrad, theta_setpoint = -40.0000 mrad, 
msg =   83, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      832 ms, ax =  0.0647, ay = -6.4252, az =  7.6479, gx = -0.0009 rad/s, gy = -0.0159 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1588 A, I_w_roll = -138.5981 A, theta_pitch = -13.47386mrad, theta_roll_comp = -385.7197 mrad, theta_setpoint = -40.0000 mrad, 
msg =   84, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      842 ms, ax =  0.0671, ay = -6.4324, az =  7.6527, gx = -0.0008 rad/s, gy = -0.0157 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1645 A, I_w_roll = -139.8025 A, theta_pitch = -13.58299mrad, theta_roll_comp = -388.8472 mrad, theta_setpoint = -40.0000 mrad, 
msg =   85, nerr =    0p/   0r, time steps =    5, qsz =    3, switch = off, t =      852 ms, ax =  0.0611, ay = -6.4288, az =  7.6455, gx = -0.0006 rad/s, gy = -0.0155 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1747 A, I_w_roll = -140.9961 A, theta_pitch = -13.68652mrad, theta_roll_comp = -391.9476 mrad, theta_setpoint = -40.0000 mrad, 
msg =   86, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      862 ms, ax =  0.0623, ay = -6.4228, az =  7.6539, gx = -0.0002 rad/s, gy = -0.0154 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1841 A, I_w_roll = -142.0797 A, theta_pitch = -13.78473mrad, theta_roll_comp = -395.0061 mrad, theta_setpoint = -40.0000 mrad, 
msg =   87, nerr =    0p/   0r, time steps =    5, qsz =    3, switch = off, t =      872 ms, ax =  0.0623, ay = -6.4192, az =  7.6599, gx = -0.0002 rad/s, gy = -0.0155 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2042 A, I_w_roll = -143.2878 A, theta_pitch = -13.88277mrad, theta_roll_comp = -398.0264 mrad, theta_setpoint = -40.0000 mrad, 
msg =   88, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      882 ms, ax =  0.0623, ay = -6.4144, az =  7.6599, gx = -0.0002 rad/s, gy = -0.0154 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2134 A, I_w_roll = -144.4817 A, theta_pitch = -13.97972mrad, theta_roll_comp = -401.0112 mrad, theta_setpoint = -40.0000 mrad, 
msg =   89, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      892 ms, ax =  0.0611, ay = -6.4132, az =  7.6635, gx = -0.0002 rad/s, gy = -0.0150 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2112 A, I_w_roll = -145.6624 A, theta_pitch = -14.07211mrad, theta_roll_comp = -403.9628 mrad, theta_setpoint = -40.0000 mrad, 
msg =   90, nerr =    0p/   1r, time steps =    5, qsz =    2, switch = off, t =      902 ms, ax =  0.0671, ay = -6.4036, az =  7.6719, gx = -0.0005 rad/s, gy = -0.0146 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2089 A, I_w_roll = -146.9217 A, theta_pitch = -14.16295mrad, theta_roll_comp = -406.8782 mrad, theta_setpoint = -40.0000 mrad, 
msg =   91, nerr =    0p/   1r, time steps =    5, qsz =    2, switch = off, t =      912 ms, ax =  0.0671, ay = -6.3988, az =  7.6659, gx = -0.0004 rad/s, gy = -0.0145 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2172 A, I_w_roll = -148.0278 A, theta_pitch = -14.25397mrad, theta_roll_comp = -409.7600 mrad, theta_setpoint = -40.0000 mrad, 
msg =   92, nerr =    0p/   1r, time steps =    5, qsz =    2, switch = off, t =      922 ms, ax =  0.0647, ay = -6.3916, az =  7.6587, gx = -0.0005 rad/s, gy = -0.0145 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2304 A, I_w_roll = -149.2147 A, theta_pitch = -14.34180mrad, theta_roll_comp = -412.6107 mrad, theta_setpoint = -40.0000 mrad, 
msg =   93, nerr =    0p/   1r, time steps =    5, qsz =    2, switch = off, t =      932 ms, ax =  0.0611, ay = -6.3892, az =  7.6539, gx = -0.0006 rad/s, gy = -0.0142 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2320 A, I_w_roll = -150.3918 A, theta_pitch = -14.42352mrad, theta_roll_comp = -415.4368 mrad, theta_setpoint = -40.0000 mrad, 
msg =   94, nerr =    0p/   1r, time steps =    5, qsz =    2, switch = off, t =      942 ms, ax =  0.0599, ay = -6.3856, az =  7.6515, gx = -0.0010 rad/s, gy = -0.0138 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2272 A, I_w_roll = -151.6510 A, theta_pitch = -14.49802mrad, theta_roll_comp = -418.2355 mrad, theta_setpoint = -40.0000 mrad, 
msg =   95, nerr =    0p/   1r, time steps =    5, qsz =    2, switch = off, t =      952 ms, ax =  0.0623, ay = -6.3832, az =  7.6527, gx = -0.0014 rad/s, gy = -0.0137 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2327 A, I_w_roll = -152.9003 A, theta_pitch = -14.57021mrad, theta_roll_comp = -421.0092 mrad, theta_setpoint = -40.0000 mrad, 
msg =   96, nerr =    0p/   2r, time steps =    5, qsz =    2, switch = off, t =      962 ms, ax =  0.0695, ay = -6.3820, az =  7.6563, gx = -0.0014 rad/s, gy = -0.0133 rad/s, gz = -0.0077 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2280 A, I_w_roll = -153.9982 A, theta_pitch = -14.64537mrad, theta_roll_comp = -423.7538 mrad, theta_setpoint = -40.0000 mrad, 
msg =   97, nerr =    0p/   2r, time steps =    5, qsz =    2, switch = off, t =      972 ms, ax =  0.0719, ay = -6.3928, az =  7.6563, gx = -0.0014 rad/s, gy = -0.0127 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2181 A, I_w_roll = -155.0865 A, theta_pitch = -14.72110mrad, theta_roll_comp = -426.4746 mrad, theta_setpoint = -40.0000 mrad, 
msg =   98, nerr =    0p/   2r, time steps =    5, qsz =    2, switch = off, t =      982 ms, ax =  0.0755, ay = -6.4036, az =  7.6563, gx = -0.0013 rad/s, gy = -0.0123 rad/s, gz = -0.0068 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2132 A, I_w_roll = -156.1203 A, theta_pitch = -14.79542mrad, theta_roll_comp = -429.1755 mrad, theta_setpoint = -40.0000 mrad, 
msg =   99, nerr =    0p/   2r, time steps =    5, qsz =    2, switch = off, t =      992 ms, ax =  0.0815, ay = -6.4108, az =  7.6719, gx = -0.0010 rad/s, gy = -0.0121 rad/s, gz = -0.0067 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2141 A, I_w_roll = -157.0966 A, theta_pitch = -14.87197mrad, theta_roll_comp = -431.8495 mrad, theta_setpoint = -40.0000 mrad, 
msg =  100, nerr =    0p/   2r, time steps =    5, qsz =    2, switch = off, t =     1002 ms, ax =  0.0839, ay = -6.4108, az =  7.6683, gx = -0.0010 rad/s, gy = -0.0117 rad/s, gz = -0.0063 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2097 A, I_w_roll = -158.1543 A, theta_pitch = -14.94959mrad, theta_roll_comp = -434.4937 mrad, theta_setpoint = -40.0000 mrad, 
msg =  101, nerr =    0p/   2r, time steps =    5, qsz =    2, switch = off, t =     1012 ms, ax =  0.0791, ay = -6.4144, az =  7.6623, gx = -0.0008 rad/s, gy = -0.0117 rad/s, gz = -0.0063 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2207 A, I_w_roll = -159.1100 A, theta_pitch = -15.02279mrad, theta_roll_comp = -437.1158 mrad, theta_setpoint = -40.0000 mrad, 
msg =  102, nerr =    0p/   2r, time steps =    5, qsz =    2, switch = off, t =     1022 ms, ax =  0.0803, ay = -6.4156, az =  7.6539, gx = -0.0006 rad/s, gy = -0.0113 rad/s, gz = -0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2150 A, I_w_roll = -160.1030 A, theta_pitch = -15.09113mrad, theta_roll_comp = -439.7149 mrad, theta_setpoint = -40.0000 mrad, 
msg =  103, nerr =    0p/   2r, time steps =    5, qsz =    2, switch = off, t =     1032 ms, ax =  0.0851, ay = -6.4132, az =  7.6599, gx = -0.0005 rad/s, gy = -0.0107 rad/s, gz = -0.0067 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2037 A, I_w_roll = -161.0855 A, theta_pitch = -15.15821mrad, theta_roll_comp = -442.2878 mrad, theta_setpoint = -40.0000 mrad, 
msg =  104, nerr =    0p/   2r, time steps =    5, qsz =    2, switch = off, t =     1042 ms, ax =  0.0899, ay = -6.4024, az =  7.6635, gx = -0.0005 rad/s, gy = -0.0104 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1979 A, I_w_roll = -162.1007 A, theta_pitch = -15.22616mrad, theta_roll_comp = -444.8256 mrad, theta_setpoint = -40.0000 mrad, 
msg =  105, nerr =    0p/   2r, time steps =    5, qsz =    2, switch = off, t =     1052 ms, ax =  0.0899, ay = -6.3988, az =  7.6659, gx = -0.0006 rad/s, gy = -0.0101 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1973 A, I_w_roll = -163.1499 A, theta_pitch = -15.29306mrad, theta_roll_comp = -447.3322 mrad, theta_setpoint = -40.0000 mrad, 
msg =  106, nerr =    1p/   3r, time steps =    5, qsz =    2, switch = off, t =     1062 ms, ax =  0.0923, ay = -6.3928, az =  7.6659, gx = -0.0006 rad/s, gy = -0.0100 rad/s, gz = -0.0077 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2019 A, I_w_roll = -164.1409 A, theta_pitch = -15.35897mrad, theta_roll_comp = -449.8096 mrad, theta_setpoint = -40.0000 mrad, 
msg =  107, nerr =    1p/   3r, time steps =    5, qsz =    2, switch = off, t =     1072 ms, ax =  0.0911, ay = -6.3844, az =  7.6671, gx = -0.0008 rad/s, gy = -0.0096 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1954 A, I_w_roll = -165.1665 A, theta_pitch = -15.42207mrad, theta_roll_comp = -452.2570 mrad, theta_setpoint = -40.0000 mrad, 
msg =  108, nerr =    1p/   3r, time steps =    5, qsz =    2, switch = off, t =     1082 ms, ax =  0.0911, ay = -6.3856, az =  7.6659, gx = -0.0010 rad/s, gy = -0.0088 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1717 A, I_w_roll = -166.2286 A, theta_pitch = -15.47766mrad, theta_roll_comp = -454.6795 mrad, theta_setpoint = -40.0000 mrad, 
msg =  109, nerr =    1p/   3r, time steps =    5, qsz =    2, switch = off, t =     1092 ms, ax =  0.0959, ay = -6.3844, az =  7.6683, gx = -0.0010 rad/s, gy = -0.0084 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1637 A, I_w_roll = -167.1884 A, theta_pitch = -15.53027mrad, theta_roll_comp = -457.0789 mrad, theta_setpoint = -40.0000 mrad, 
msg =  110, nerr =    1p/   3r, time steps =    5, qsz =    2, switch = off, t =     1102 ms, ax =  0.0911, ay = -6.3844, az =  7.6683, gx = -0.0013 rad/s, gy = -0.0077 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1439 A, I_w_roll = -168.2318 A, theta_pitch = -15.57638mrad, theta_roll_comp = -459.4544 mrad, theta_setpoint = -40.0000 mrad, 
msg =  111, nerr =    1p/   3r, time steps =    5, qsz =    2, switch = off, t =     1112 ms, ax =  0.0911, ay = -6.3868, az =  7.6683, gx = -0.0016 rad/s, gy = -0.0076 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1445 A, I_w_roll = -169.2671 A, theta_pitch = -15.61544mrad, theta_roll_comp = -461.8097 mrad, theta_setpoint = -40.0000 mrad, 
msg =  112, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1122 ms, ax =  0.0935, ay = -6.3904, az =  7.6575, gx = -0.0016 rad/s, gy = -0.0070 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1287 A, I_w_roll = -170.2029 A, theta_pitch = -15.65240mrad, theta_roll_comp = -464.1490 mrad, theta_setpoint = -40.0000 mrad, 
msg =  113, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1132 ms, ax =  0.0935, ay = -6.4024, az =  7.6635, gx = -0.0016 rad/s, gy = -0.0066 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1178 A, I_w_roll = -171.1322 A, theta_pitch = -15.68588mrad, theta_roll_comp = -466.4724 mrad, theta_setpoint = -40.0000 mrad, 
