picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
 A, I_w_roll = -263.7635 A, theta_pitch = -0.30080mrad, theta_roll_comp = -698.0505 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3338, nerr =  134p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33382 ms, ax = -0.6329, ay =  0.2601, az =  9.7744, gx =  0.0481 rad/s, gy =  0.0609 rad/s, gz = -0.0875 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.9004 A, I_w_roll = 33.3230 A, theta_pitch = 33.09974mrad, theta_roll_comp =  1.2075 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3339, nerr =  134p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33392 ms, ax = -0.6665, ay =  0.2649, az =  9.7960, gx =  0.0469 rad/s, gy =  0.0576 rad/s, gz = -0.1015 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.9055 A, I_w_roll = 33.1951 A, theta_pitch = 34.02113mrad, theta_roll_comp =  1.9363 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3340, nerr =  135p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33402 ms, ax = -0.6581, ay =  0.1894, az =  9.9135, gx =  0.0456 rad/s, gy =  0.0548 rad/s, gz = -0.1108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.9268 A, I_w_roll = 32.9963 A, theta_pitch = 34.90873mrad, theta_roll_comp =  2.6044 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3341, nerr =  135p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33412 ms, ax = -0.7013, ay =  0.1882, az = 10.1269, gx =  0.0444 rad/s, gy =  0.0525 rad/s, gz = -0.1142 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.9655 A, I_w_roll = 32.8207 A, theta_pitch = 35.77057mrad, theta_roll_comp =  3.2141 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3342, nerr =  135p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33422 ms, ax = -0.7444, ay =  0.1558, az = 10.2444, gx =  0.0427 rad/s, gy =  0.0498 rad/s, gz = -0.1107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.9879 A, I_w_roll = 32.4420 A, theta_pitch = 36.62997mrad, theta_roll_comp =  3.7820 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3343, nerr =  135p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33432 ms, ax = -0.7708, ay =  0.1810, az = 10.1940, gx =  0.0408 rad/s, gy =  0.0461 rad/s, gz = -0.1031 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.9663 A, I_w_roll = 32.0066 A, theta_pitch = 37.48019mrad, theta_roll_comp =  4.3246 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3344, nerr =  135p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33442 ms, ax = -0.7804, ay =  0.1798, az =  9.9758, gx =  0.0381 rad/s, gy =  0.0410 rad/s, gz = -0.0915 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.8876 A, I_w_roll = 31.2855 A, theta_pitch = 38.30502mrad, theta_roll_comp =  4.8520 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3345, nerr =  135p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33452 ms, ax = -0.7888, ay =  0.1882, az =  9.7637, gx =  0.0365 rad/s, gy =  0.0356 rad/s, gz = -0.0792 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.7877 A, I_w_roll = 30.9300 A, theta_pitch = 39.09473mrad, theta_roll_comp =  5.3614 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3346, nerr =  136p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33462 ms, ax = -0.8043, ay =  0.1918, az =  9.6690, gx =  0.0349 rad/s, gy =  0.0300 rad/s, gz = -0.0670 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.6767 A, I_w_roll = 30.5696 A, theta_pitch = 39.84581mrad, theta_roll_comp =  5.8584 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3347, nerr =  136p/ 142r, time steps =    5, qsz =    3, switch = off, t =    33472 ms, ax = -0.8115, ay =  0.1858, az =  9.7277, gx =  0.0333 rad/s, gy =  0.0237 rad/s, gz = -0.0538 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.5309 A, I_w_roll = 30.2004 A, theta_pitch = 40.54274mrad, theta_roll_comp =  6.3334 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3348, nerr =  136p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33482 ms, ax = -0.8139, ay =  0.1966, az =  9.8727, gx =  0.0316 rad/s, gy =  0.0177 rad/s, gz = -0.0425 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.3849 A, I_w_roll = 29.7763 A, theta_pitch = 41.16757mrad, theta_roll_comp =  6.7879 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3349, nerr =  136p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33492 ms, ax = -0.8127, ay =  0.1894, az = 10.0154, gx =  0.0296 rad/s, gy =  0.0122 rad/s, gz = -0.0324 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.2437 A, I_w_roll = 29.2492 A, theta_pitch = 41.71729mrad, theta_roll_comp =  7.2178 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3350, nerr =  136p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33502 ms, ax = -0.8091, ay =  0.2182, az = 10.0897, gx =  0.0275 rad/s, gy =  0.0063 rad/s, gz = -0.0230 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.0807 A, I_w_roll = 28.6693 A, theta_pitch = 42.19287mrad, theta_roll_comp =  7.6323 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3351, nerr =  136p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33512 ms, ax = -0.8079, ay =  0.2170, az = 10.0442, gx =  0.0256 rad/s, gy =  0.0014 rad/s, gz = -0.0156 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -7.9458 A, I_w_roll = 28.1781 A, theta_pitch = 42.60760mrad, theta_roll_comp =  8.0354 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3352, nerr =  136p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33522 ms, ax = -0.8055, ay =  0.2505, az =  9.9423, gx =  0.0233 rad/s, gy = -0.0029 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -7.8308 A, I_w_roll = 27.5449 A, theta_pitch = 42.97671mrad, theta_roll_comp =  8.4329 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3353, nerr =  136p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33532 ms, ax = -0.7972, ay =  0.2661, az =  9.8356, gx =  0.0208 rad/s, gy = -0.0080 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -7.6766 A, I_w_roll = 26.8178 A, theta_pitch = 43.29835mrad, theta_roll_comp =  8.8291 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3354, nerr =  136p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33542 ms, ax = -0.7888, ay =  0.2793, az =  9.8044, gx =  0.0182 rad/s, gy = -0.0125 rad/s, gz =  0.0008 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -7.5357 A, I_w_roll = 26.0387 A, theta_pitch = 43.56601mrad, theta_roll_comp =  9.2115 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3355, nerr =  136p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33552 ms, ax = -0.7672, ay =  0.2889, az =  9.8476, gx =  0.0159 rad/s, gy = -0.0165 rad/s, gz =  0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -7.4069 A, I_w_roll = 25.3926 A, theta_pitch = 43.77280mrad, theta_roll_comp =  9.5769 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3356, nerr =  136p/ 143r, time steps =    5, qsz =    2, switch = off, t =    33562 ms, ax = -0.7384, ay =  0.2697, az =  9.9471, gx =  0.0139 rad/s, gy = -0.0205 rad/s, gz =  0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -7.2672 A, I_w_roll = 24.8267 A, theta_pitch = 43.90648mrad, theta_roll_comp =  9.9096 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3357, nerr =  136p/ 143r, time steps =    5, qsz =    2, switch = off, t =    33572 ms, ax = -0.7132, ay =  0.2685, az = 10.0010, gx =  0.0112 rad/s, gy = -0.0235 rad/s, gz =  0.0210 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -7.1544 A, I_w_roll = 24.0123 A, theta_pitch = 43.97146mrad, theta_roll_comp = 10.2039 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3358, nerr =  136p/ 143r, time steps =    5, qsz =    2, switch = off, t =    33582 ms, ax = -0.6845, ay =  0.2541, az = 10.0094, gx =  0.0087 rad/s, gy = -0.0258 rad/s, gz =  0.0280 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -7.0652 A, I_w_roll = 23.2293 A, theta_pitch = 43.98049mrad, theta_roll_comp = 10.4602 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3359, nerr =  136p/ 143r, time steps =    5, qsz =    2, switch = off, t =    33592 ms, ax = -0.6605, ay =  0.2433, az =  9.9686, gx =  0.0064 rad/s, gy = -0.0278 rad/s, gz =  0.0342 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.9798 A, I_w_roll = 22.5243 A, theta_pitch = 43.94356mrad, theta_roll_comp = 10.6784 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3360, nerr =  136p/ 143r, time steps =    5, qsz =    2, switch = off, t =    33602 ms, ax = -0.6377, ay =  0.2361, az =  9.9255, gx =  0.0051 rad/s, gy = -0.0291 rad/s, gz =  0.0385 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.9155 A, I_w_roll = 22.1345 A, theta_pitch = 43.87015mrad, theta_roll_comp = 10.8688 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3361, nerr =  136p/ 143r, time steps =    5, qsz =    2, switch = off, t =    33612 ms, ax = -0.6102, ay =  0.2373, az =  9.9111, gx =  0.0038 rad/s, gy = -0.0302 rad/s, gz =  0.0411 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.8567 A, I_w_roll = 21.7378 A, theta_pitch = 43.76212mrad, theta_roll_comp = 11.0422 mrad, theta_setpoint = -40.0000 mrad, 
