picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.1892 A, I_w_roll = -249.2544 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =    1, nerr =    0p/   0r, time steps =    4, qsz =    2, switch = off, t =       12 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =    2, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =       22 ms, ax =  0.4927, ay = -6.1207, az =  7.8805, gx = -0.0002 rad/s, gy = -0.0017 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3778 A, I_w_roll = 14.4285 A, theta_pitch = -0.36269mrad, theta_roll_comp = -3.7358 mrad, theta_setpoint = -40.0000 mrad, 
msg =    3, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =       32 ms, ax =  0.4963, ay = -6.1111, az =  7.8829, gx = -0.0005 rad/s, gy = -0.0021 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2658 A, I_w_roll = 11.7180 A, theta_pitch = -1.00271mrad, theta_roll_comp = -10.2790 mrad, theta_setpoint = -40.0000 mrad, 
msg =    4, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =       42 ms, ax =  0.4987, ay = -6.1027, az =  7.8841, gx = -0.0006 rad/s, gy = -0.0021 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1699 A, I_w_roll =  9.0829 A, theta_pitch = -1.64173mrad, theta_roll_comp = -16.7501 mrad, theta_setpoint = -40.0000 mrad, 
msg =    5, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =       52 ms, ax =  0.4939, ay = -6.1027, az =  7.8805, gx = -0.0008 rad/s, gy = -0.0022 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.0699 A, I_w_roll =  6.4735 A, theta_pitch = -2.27351mrad, theta_roll_comp = -23.1571 mrad, theta_setpoint = -40.0000 mrad, 
msg =    6, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =       62 ms, ax =  0.4975, ay = -6.0931, az =  7.8852, gx = -0.0010 rad/s, gy = -0.0022 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9760 A, I_w_roll =  3.8451 A, theta_pitch = -2.89889mrad, theta_roll_comp = -29.4951 mrad, theta_setpoint = -40.0000 mrad, 
msg =    7, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =       72 ms, ax =  0.4963, ay = -6.0919, az =  7.8829, gx = -0.0012 rad/s, gy = -0.0021 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8884 A, I_w_roll =  1.2878 A, theta_pitch = -3.51900mrad, theta_roll_comp = -35.7718 mrad, theta_setpoint = -40.0000 mrad, 
msg =    8, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =       82 ms, ax =  0.4987, ay = -6.0919, az =  7.8841, gx = -0.0010 rad/s, gy = -0.0020 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8018 A, I_w_roll = -1.1483 A, theta_pitch = -4.13186mrad, theta_roll_comp = -41.9787 mrad, theta_setpoint = -40.0000 mrad, 
msg =    9, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =       92 ms, ax =  0.5023, ay = -6.0979, az =  7.8841, gx = -0.0014 rad/s, gy = -0.0022 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6993 A, I_w_roll = -3.7494 A, theta_pitch = -4.74363mrad, theta_roll_comp = -48.1319 mrad, theta_setpoint = -40.0000 mrad, 
msg =   10, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      102 ms, ax =  0.5023, ay = -6.1063, az =  7.8888, gx = -0.0013 rad/s, gy = -0.0018 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6243 A, I_w_roll = -6.1413 A, theta_pitch = -5.35026mrad, theta_roll_comp = -54.2280 mrad, theta_setpoint = -40.0000 mrad, 
msg =   11, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      112 ms, ax =  0.5023, ay = -6.1135, az =  7.8817, gx = -0.0014 rad/s, gy = -0.0013 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5562 A, I_w_roll = -8.6053 A, theta_pitch = -5.94633mrad, theta_roll_comp = -60.2717 mrad, theta_setpoint = -40.0000 mrad, 
msg =   12, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      122 ms, ax =  0.4999, ay = -6.1147, az =  7.8912, gx = -0.0014 rad/s, gy = -0.0012 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.4738 A, I_w_roll = -10.9995 A, theta_pitch = -6.53146mrad, theta_roll_comp = -66.2570 mrad, theta_setpoint = -40.0000 mrad, 
