picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =   86, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      862 ms, ax =  0.4447, ay =  1.3114, az =  9.7732, gx = -0.0046 rad/s, gy = -0.0030 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7289 A, I_w_roll = 44.1117 A, theta_pitch = -27.38550mrad, theta_roll_comp = 74.3172 mrad, theta_setpoint = -40.0000 mrad, 
msg =   87, nerr =    0p/   0r, time steps =    5, qsz =    3, switch = off, t =      872 ms, ax =  0.4423, ay =  1.3102, az =  9.7756, gx = -0.0047 rad/s, gy = -0.0034 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7766 A, I_w_roll = 44.2816 A, theta_pitch = -27.59669mrad, theta_roll_comp = 74.8584 mrad, theta_setpoint = -40.0000 mrad, 
msg =   88, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      882 ms, ax =  0.4399, ay =  1.3102, az =  9.7661, gx = -0.0045 rad/s, gy = -0.0032 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7970 A, I_w_roll = 44.5894 A, theta_pitch = -27.80395mrad, theta_roll_comp = 75.3949 mrad, theta_setpoint = -40.0000 mrad, 
msg =   89, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      892 ms, ax =  0.4411, ay =  1.3150, az =  9.7637, gx = -0.0043 rad/s, gy = -0.0030 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.8221 A, I_w_roll = 44.8506 A, theta_pitch = -28.00700mrad, theta_roll_comp = 75.9314 mrad, theta_setpoint = -40.0000 mrad, 
msg =   90, nerr =    1p/   1r, time steps =    5, qsz =    2, switch = off, t =      902 ms, ax =  0.4435, ay =  1.3150, az =  9.7613, gx = -0.0041 rad/s, gy = -0.0026 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.8362 A, I_w_roll = 45.1581 A, theta_pitch = -28.20723mrad, theta_roll_comp = 76.4671 mrad, theta_setpoint = -40.0000 mrad, 
msg =   91, nerr =    1p/   1r, time steps =    5, qsz =    2, switch = off, t =      912 ms, ax =  0.4387, ay =  1.3162, az =  9.7661, gx = -0.0039 rad/s, gy = -0.0029 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.8763 A, I_w_roll = 45.4178 A, theta_pitch = -28.40351mrad, theta_roll_comp = 76.9999 mrad, theta_setpoint = -40.0000 mrad, 
msg =   92, nerr =    1p/   1r, time steps =    5, qsz =    2, switch = off, t =      922 ms, ax =  0.4351, ay =  1.3162, az =  9.7780, gx = -0.0037 rad/s, gy = -0.0030 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.9103 A, I_w_roll = 45.7226 A, theta_pitch = -28.59510mrad, theta_roll_comp = 77.5288 mrad, theta_setpoint = -40.0000 mrad, 
msg =   93, nerr =    1p/   1r, time steps =    5, qsz =    2, switch = off, t =      932 ms, ax =  0.4303, ay =  1.3150, az =  9.7709, gx = -0.0035 rad/s, gy = -0.0033 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.9491 A, I_w_roll = 45.9791 A, theta_pitch = -28.78249mrad, theta_roll_comp = 78.0535 mrad, theta_setpoint = -40.0000 mrad, 
msg =   94, nerr =    1p/   1r, time steps =    5, qsz =    2, switch = off, t =      942 ms, ax =  0.4279, ay =  1.3090, az =  9.7649, gx = -0.0035 rad/s, gy = -0.0032 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.9712 A, I_w_roll = 46.1860 A, theta_pitch = -28.96521mrad, theta_roll_comp = 78.5707 mrad, theta_setpoint = -40.0000 mrad, 
msg =   95, nerr =    1p/   1r, time steps =    5, qsz =    2, switch = off, t =      952 ms, ax =  0.4267, ay =  1.3138, az =  9.7613, gx = -0.0037 rad/s, gy = -0.0033 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.0034 A, I_w_roll = 46.3440 A, theta_pitch = -29.14463mrad, theta_roll_comp = 79.0824 mrad, theta_setpoint = -40.0000 mrad, 
msg =   96, nerr =    2p/   2r, time steps =    5, qsz =    2, switch = off, t =      962 ms, ax =  0.4315, ay =  1.3186, az =  9.7553, gx = -0.0037 rad/s, gy = -0.0033 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.0305 A, I_w_roll = 46.5486 A, theta_pitch = -29.32521mrad, theta_roll_comp = 79.5939 mrad, theta_setpoint = -40.0000 mrad, 
