picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  293, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     2932 ms, ax =  0.5011, ay = -0.6629, az =  9.8236, gx =  0.1106 rad/s, gy = -0.0004 rad/s, gz = -0.0342 rad/s, rpm_pitch =  0.0000, rpm_roll = -374.9666, I_w_pitch =  6.5030 A, I_w_roll = 16.5167 A, theta_pitch = -53.25656mrad, theta_roll_comp = -71.9036 mrad, theta_setpoint = -16.4521 mrad, 
msg =  294, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     2942 ms, ax =  0.4555, ay = -0.8427, az =  9.7948, gx =  0.1047 rad/s, gy =  0.0000 rad/s, gz = -0.0004 rad/s, rpm_pitch =  0.0000, rpm_roll = -374.9666, I_w_pitch =  6.4803 A, I_w_roll = 14.8735 A, theta_pitch = -53.21157mrad, theta_roll_comp = -70.8850 mrad, theta_setpoint = -16.4521 mrad, 
msg =  295, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     2952 ms, ax =  0.5023, ay = -0.4423, az =  9.7601, gx =  0.0949 rad/s, gy =  0.0015 rad/s, gz =  0.0225 rad/s, rpm_pitch =  0.0000, rpm_roll = -374.9666, I_w_pitch =  6.4143 A, I_w_roll = 11.8470 A, theta_pitch = -53.16227mrad, theta_roll_comp = -69.8297 mrad, theta_setpoint = -16.4521 mrad, 
msg =  296, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     2962 ms, ax =  0.5910, ay = -0.3788, az =  9.7768, gx =  0.0899 rad/s, gy =  0.0016 rad/s, gz =  0.0229 rad/s, rpm_pitch =  0.0000, rpm_roll = -361.9652, I_w_pitch =  6.4112 A, I_w_roll = 10.9286 A, theta_pitch = -53.17677mrad, theta_roll_comp = -68.6312 mrad, theta_setpoint = -17.2686 mrad, 
msg =  297, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     2972 ms, ax =  0.5610, ay = -0.1978, az =  9.8032, gx =  0.0902 rad/s, gy =  0.0015 rad/s, gz =  0.0013 rad/s, rpm_pitch =  0.0000, rpm_roll = -361.9652, I_w_pitch =  6.4224 A, I_w_roll = 11.5390 A, theta_pitch = -53.21614mrad, theta_roll_comp = -67.3381 mrad, theta_setpoint = -17.2686 mrad, 
msg =  298, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     2982 ms, ax =  0.5766, ay =  0.0000, az =  9.9063, gx =  0.0931 rad/s, gy =  0.0019 rad/s, gz = -0.0282 rad/s, rpm_pitch =  0.0000, rpm_roll = -343.4492, I_w_pitch =  6.4105 A, I_w_roll = 13.6258 A, theta_pitch = -53.24358mrad, theta_roll_comp = -65.8472 mrad, theta_setpoint = -18.4314 mrad, 
msg =  299, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     2992 ms, ax =  0.5754, ay = -0.1391, az =  9.8895, gx =  0.0986 rad/s, gy = -0.0010 rad/s, gz = -0.0559 rad/s, rpm_pitch =  0.0000, rpm_roll = -343.4492, I_w_pitch =  6.5345 A, I_w_roll = 16.1523 A, theta_pitch = -53.28870mrad, theta_roll_comp = -64.3078 mrad, theta_setpoint = -18.4314 mrad, 
msg =  300, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3002 ms, ax =  0.3992, ay = -0.3740, az =  9.8008, gx =  0.0959 rad/s, gy = -0.0013 rad/s, gz = -0.0562 rad/s, rpm_pitch =  0.0000, rpm_roll = -343.4492, I_w_pitch =  6.5406 A, I_w_roll = 15.7581 A, theta_pitch = -53.25810mrad, theta_roll_comp = -62.9631 mrad, theta_setpoint = -18.4314 mrad, 
msg =  301, nerr =    0p/   4r, time steps =    5, qsz =    3, switch = on, t =     3012 ms, ax =  0.3716, ay = -0.5898, az =  9.7924, gx =  0.0901 rad/s, gy = -0.0012 rad/s, gz = -0.0409 rad/s, rpm_pitch =  0.0000, rpm_roll = -343.4492, I_w_pitch =  6.5161 A, I_w_roll = 14.1308 A, theta_pitch = -53.13071mrad, theta_roll_comp = -61.9051 mrad, theta_setpoint = -18.4314 mrad, 
msg =  302, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3022 ms, ax =  0.3896, ay = -0.6473, az =  9.7553, gx =  0.0794 rad/s, gy = -0.0001 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -332.9211, I_w_pitch =  6.4533 A, I_w_roll = 10.9973 A, theta_pitch = -52.99575mrad, theta_roll_comp = -61.0791 mrad, theta_setpoint = -19.0926 mrad, 
msg =  303, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3032 ms, ax =  0.4232, ay = -0.3680, az =  9.8404, gx =  0.0680 rad/s, gy =  0.0012 rad/s, gz =  0.0192 rad/s, rpm_pitch =  0.0000, rpm_roll = -332.9211, I_w_pitch =  6.3819 A, I_w_roll =  7.3219 A, theta_pitch = -52.87541mrad, theta_roll_comp = -60.2479 mrad, theta_setpoint = -19.0926 mrad, 
