picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 10218, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102182 ms, ax =  0.5191, ay = -0.2517, az =  9.8416, gx = -0.0063 rad/s, gy = -0.0028 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9071 A, I_w_roll =  2.1299 A, theta_pitch = -55.31123mrad, theta_roll_comp = -29.1229 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10219, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102192 ms, ax =  0.5262, ay = -0.2517, az =  9.8416, gx = -0.0066 rad/s, gy = -0.0029 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9133 A, I_w_roll =  2.0249 A, theta_pitch = -55.31722mrad, theta_roll_comp = -29.1521 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10220, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102202 ms, ax =  0.5238, ay = -0.2553, az =  9.8356, gx = -0.0062 rad/s, gy = -0.0028 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9092 A, I_w_roll =  2.1527 A, theta_pitch = -55.32535mrad, theta_roll_comp = -29.1823 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10221, nerr =  554p/ 558r, time steps =    5, qsz =    3, switch = off, t =   102212 ms, ax =  0.5179, ay = -0.2529, az =  9.8452, gx = -0.0062 rad/s, gy = -0.0025 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8988 A, I_w_roll =  2.1414 A, theta_pitch = -55.32687mrad, theta_roll_comp = -29.2106 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10222, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102222 ms, ax =  0.5179, ay = -0.2493, az =  9.8416, gx = -0.0059 rad/s, gy = -0.0026 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9038 A, I_w_roll =  2.2252 A, theta_pitch = -55.32488mrad, theta_roll_comp = -29.2340 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10223, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102232 ms, ax =  0.5107, ay = -0.2493, az =  9.8404, gx = -0.0058 rad/s, gy = -0.0026 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9031 A, I_w_roll =  2.2639 A, theta_pitch = -55.31978mrad, theta_roll_comp = -29.2537 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10224, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102242 ms, ax =  0.5059, ay = -0.2529, az =  9.8452, gx = -0.0055 rad/s, gy = -0.0028 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9068 A, I_w_roll =  2.3494 A, theta_pitch = -55.30935mrad, theta_roll_comp = -29.2730 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10225, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102252 ms, ax =  0.5023, ay = -0.2505, az =  9.8416, gx = -0.0058 rad/s, gy = -0.0029 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9102 A, I_w_roll =  2.2483 A, theta_pitch = -55.29613mrad, theta_roll_comp = -29.2927 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10226, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102262 ms, ax =  0.5071, ay = -0.2541, az =  9.8404, gx = -0.0059 rad/s, gy = -0.0030 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9139 A, I_w_roll =  2.1928 A, theta_pitch = -55.28542mrad, theta_roll_comp = -29.3150 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10227, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102272 ms, ax =  0.5119, ay = -0.2565, az =  9.8356, gx = -0.0059 rad/s, gy = -0.0032 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9186 A, I_w_roll =  2.1825 A, theta_pitch = -55.28112mrad, theta_roll_comp = -29.3408 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10228, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102282 ms, ax =  0.5083, ay = -0.2529, az =  9.8344, gx = -0.0061 rad/s, gy = -0.0033 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9235 A, I_w_roll =  2.1257 A, theta_pitch = -55.27866mrad, theta_roll_comp = -29.3663 mrad, theta_setpoint = -40.0000 mrad, 
