picocom v3.2a

port is        : /dev/tty.usbmodem103
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : /nix/store/qsx6i1q4h7cq5kg1pjmis5q57nskh70f-lrzsz-0.12.20/bin/sz -vv
receive_cmd is : /nix/store/qsx6i1q4h7cq5kg1pjmis5q57nskh70f-lrzsz-0.12.20/bin/rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 1262, time steps =   10, qsz =    2, switch = 0 t =    25515 ms. I_w =   7131 mA, erpm =        0, ax =      594, ay =     -424, az =     9819, gx = -0.03809 rad/s, theta =      133 mrad, theta_d =       27 mrad, x =        4, x_d =        0
msg = 1263, time steps =   10, qsz =    2, switch = 0 t =    25535 ms. I_w =   7184 mA, erpm =        0, ax =      963, ay =     -467, az =     9843, gx = -0.03702 rad/s, theta =      134 mrad, theta_d =       28 mrad, x =        4, x_d =        0
msg = 1264, time steps =   10, qsz =    2, switch = 0 t =    25555 ms. I_w =   7230 mA, erpm =        0, ax =     1112, ay =     -534, az =     9852, gx = -0.03489 rad/s, theta =      135 mrad, theta_d =       28 mrad, x =        4, x_d =        0
msg = 1265, time steps =   10, qsz =    2, switch = 0 t =    25575 ms. I_w =   7266 mA, erpm =        0, ax =      896, ay =     -635, az =     9838, gx = -0.02850 rad/s, theta =      135 mrad, theta_d =       29 mrad, x =        4, x_d =        0
msg = 1266, time steps =   10, qsz =    2, switch = 0 t =    25596 ms. I_w =   7286 mA, erpm =        0, ax =      479, ay =     -668, az =     9819, gx = -0.02211 rad/s, theta =      136 mrad, theta_d =       28 mrad, x =        4, x_d =        0
msg = 1267, time steps =   10, qsz =    2, switch = 0 t =    25616 ms. I_w =   7294 mA, erpm =        0, ax =       76, ay =     -687, az =     9796, gx = -0.01678 rad/s, theta =      136 mrad, theta_d =       27 mrad, x =        4, x_d =        0
msg = 1268, time steps =   10, qsz =    2, switch = 0 t =    25636 ms. I_w =   7291 mA, erpm =        0, ax =     -220, ay =     -702, az =     9796, gx = -0.01252 rad/s, theta =      136 mrad, theta_d =       26 mrad, x =        4, x_d =        0
msg = 1269, time steps =   10, qsz =    2, switch = 0 t =    25656 ms. I_w =   7278 mA, erpm =        0, ax =     -230, ay =     -725, az =     9782, gx = -0.00720 rad/s, theta =      137 mrad, theta_d =       24 mrad, x =        4, x_d =        0
msg = 1270, time steps =   10, qsz =    2, switch = 0 t =    25676 ms. I_w =   7254 mA, erpm =        0, ax =       62, ay =     -716, az =     9796, gx = -0.00081 rad/s, theta =      137 mrad, theta_d =       22 mrad, x =        4, x_d =        0
msg = 1271, time steps =   10, qsz =    2, switch = 0 t =    25697 ms. I_w =   7221 mA, erpm =        0, ax =      503, ay =     -687, az =     9815, gx = 0.00346 rad/s, theta =      137 mrad, theta_d =       20 mrad, x =        4, x_d =        0
msg = 1272, time steps =   10, qsz =    2, switch = 0 t =    25717 ms. I_w =   7180 mA, erpm =        0, ax =      968, ay =     -620, az =     9847, gx = 0.00772 rad/s, theta =      137 mrad, theta_d =       18 mrad, x =        4, x_d =        0
msg = 1273, time steps =   10, qsz =    2, switch = 0 t =    25737 ms. I_w =   7136 mA, erpm =        0, ax =     1304, ay =     -544, az =     9843, gx = 0.00985 rad/s, theta =      136 mrad, theta_d =       15 mrad, x =        4, x_d =        0
msg = 1274, time steps =   10, qsz =    2, switch = 0 t =    25757 ms. I_w =   7093 mA, erpm =        0, ax =     1294, ay =     -477, az =     9838, gx = 0.00985 rad/s, theta =      136 mrad, theta_d =       13 mrad, x =        4, x_d =        0
msg = 1275, time steps =   10, qsz =    2, switch = 0 t =    25777 ms. I_w =   7054 mA, erpm =        0, ax =     1026, ay =     -458, az =     9838, gx = 0.00878 rad/s, theta =      136 mrad, theta_d =       11 mrad, x =        4, x_d =        0
msg = 1276, time steps =   10, qsz =    2, switch = 0 t =    25798 ms. I_w =   7019 mA, erpm =        0, ax =      513, ay =     -424, az =     9819, gx = 0.00878 rad/s, theta =      136 mrad, theta_d =        9 mrad, x =        4, x_d =        0
msg = 1277, time steps =   10, qsz =    2, switch = 0 t =    25818 ms. I_w =   6988 mA, erpm =        0, ax =      -52, ay =     -381, az =     9796, gx = 0.00772 rad/s, theta =      136 mrad, theta_d =        7 mrad, x =        4, x_d =        0
msg = 1278, time steps =   10, qsz =    2, switch = 0 t =    25838 ms. I_w =   6963 mA, erpm =        0, ax =     -493, ay =     -348, az =     9773, gx = 0.00559 rad/s, theta =      136 mrad, theta_d =        6 mrad, x =        4, x_d =        0
msg = 1279, time steps =   10, qsz =    2, switch = 0 t =    25858 ms. I_w =   6943 mA, erpm =        0, ax =     -656, ay =     -343, az =     9763, gx = 0.00452 rad/s, theta =      135 mrad, theta_d =        5 mrad, x =        4, x_d =        0
msg = 1280, time steps =   10, qsz =    2, switch = 0 t =    25878 ms. I_w =   6928 mA, erpm =        0, ax =     -541, ay =     -310, az =     9782, gx = 0.00239 rad/s, theta =      135 mrad, theta_d =        4 mrad, x =        4, x_d =        0
msg = 1281, time steps =   10, qsz =    2, switch = 0 t =    25899 ms. I_w =   6918 mA, erpm =        0, ax =     -163, ay =     -262, az =     9787, gx = 0.00026 rad/s, theta =      135 mrad, theta_d =        4 mrad, x =        4, x_d =        0
